symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,trigger_type,fake_breakout,reason
ETHUSDT,GHST_BE,SHORT,1944.06,2099.673142857143,2099.673142857143,1679.517657142857,-2941.42,-8.0,SL,2026-02-06 13:25:00,2026-02-07 04:10:00,177,2,bat,False,GHST_BE: BAT supply [1943-2098] V=2.3x Q=2
ETHUSDT,GHST_BE,SHORT,2020.5500000000002,2099.458285714286,2099.458285714286,1886.4059142857145,-2948.98,-3.91,SL,2026-02-07 05:40:00,2026-02-07 16:05:00,125,2,bat,False,GHST_BE: BAT supply [1943-2098] V=2.3x Q=2
ETHUSDT,GHST_BE,SHORT,1976.76,1946.27,2022.7169999999999,1898.6331000000002,1641.55,1.54,SL,2026-02-15 17:00:00,2026-02-15 19:20:00,28,1,bat,False,GHST_BE: BAT supply [1932-2022] V=3.4x Q=1
ETHUSDT,GHST_BE,SHORT,1950.01,2023.0515714285714,2023.0515714285714,1825.8393285714287,-2936.77,-3.75,SL,2026-02-15 20:45:00,2026-02-16 13:00:00,195,1,bat,False,GHST_BE: BAT supply [1932-2022] V=3.4x Q=1
ETHUSDT,GHST_BE,SHORT,1910.3449999999998,1865.461142857143,1972.812642857143,1804.1500071428566,1947.04,2.35,SL,2026-02-23 00:40:00,2026-02-23 02:30:00,22,2,bat,False,GHST_BE: BAT supply [1849-1972] V=3.6x Q=2
ETHUSDT,GHST_BE,SHORT,1858.85,1973.0455,1973.0455,1664.7176499999998,-2895.25,-6.14,SL,2026-02-23 03:30:00,2026-02-25 13:45:00,699,2,bat,False,GHST_BE: BAT supply [1849-1972] V=3.6x Q=2
ETHUSDT,GHST_SE,LONG,1989.93,2057.99,1911.641357142857,2518.2219999999998,2379.43,3.42,EXHAUST,2026-02-25 14:45:00,2026-02-25 17:00:00,27,4,bat,False,GHST_SE: BAT demand [1913-2027] V=2.2x Q=3
ETHUSDT,GHST_SE,LONG,2025.32,1910.4616428571428,1910.4616428571428,2518.2219999999998,-2892.66,-5.67,SL,2026-02-26 15:35:00,2026-02-27 17:30:00,311,3,bat,False,GHST_SE: BAT demand [1913-2027] V=2.2x Q=3
ETHUSDT,GHST_TRP,SHORT,1876.42,1852.8334285714286,1902.758142857143,1831.6451571428572,1301.91,1.26,SL,2026-02-28 06:20:00,2026-02-28 07:00:00,8,4,bat,True,GHST_TRP: BAT supply [1851-1901] V=2.2x Q=1 +FakeBO
ETHUSDT,GHST_BE,SHORT,1859.22,1903.7188571428571,1903.7188571428571,1783.5719428571429,-2817.56,-2.39,SL,2026-02-28 08:05:00,2026-02-28 13:50:00,69,1,bat,False,GHST_BE: BAT supply [1851-1901] V=2.2x Q=1
SOLUSDT,GHST_SE,LONG,125.87,129.8194642857143,123.5467857142857,129.8194642857143,3645.28,3.14,TARGET,2025-12-31 07:25:00,2025-12-31 20:25:00,156,1,bat,False,GHST_SE: BAT demand [124-128] V=2.2x Q=1
SOLUSDT,GHST_TRP,SHORT,124.09,129.80300000000003,129.80300000000003,114.37789999999997,-3101.18,-4.6,SL,2025-12-31 21:25:00,2026-01-02 09:45:00,436,4,injection,True,GHST_TRP: INJECTION supply [122-130] V=2.0x Q=2 +FakeBO
SOLUSDT,GHST_SE,LONG,129.19,131.2642857142857,126.03414285714285,133.224,1808.89,1.61,SL,2026-01-02 10:45:00,2026-01-02 17:30:00,81,2,injection,False,GHST_SE: INJECTION demand [126-130] V=2.2x Q=2
SOLUSDT,GHST_BE,SHORT,131.22,138.36392857142857,138.36392857142857,119.07532142857143,-3075.95,-5.44,SL,2026-01-02 18:30:00,2026-01-05 19:25:00,875,2,bat,False,GHST_BE: BAT supply [129-138] V=2.7x Q=2
SOLUSDT,GHST_SE,LONG,139.69,143.99,126.79042857142856,161.61927142857144,964.05,3.08,EXHAUST,2026-01-05 20:25:00,2026-01-12 03:10:00,1809,2,bat,False,GHST_SE: BAT demand [127-139] V=3.2x Q=2
SOLUSDT,GHST_SE,LONG,142.87,147.42,135.65514285714283,155.1352571428572,1831.59,3.18,EXHAUST,2026-01-12 04:10:00,2026-01-13 22:15:00,505,3,injection,False,GHST_SE: INJECTION demand [136-144] V=2.4x Q=3
SOLUSDT,GHST_BE,SHORT,146.72,142.19,154.84478571428573,132.90786428571425,1627.22,3.09,EXHAUST,2026-01-13 23:15:00,2026-01-15 15:35:00,484,3,bat,False,GHST_BE: BAT supply [141-155] V=2.1x Q=3
SOLUSDT,GHST_SE,LONG,143.17,135.63899999999998,135.63899999999998,155.9727,-3089.56,-5.26,SL,2026-01-15 16:35:00,2026-01-19 00:00:00,953,3,injection,False,GHST_SE: INJECTION demand [136-144] V=2.4x Q=3
SOLUSDT,GHST_TRP,LONG,134.36,131.18121428571428,131.18121428571428,139.76393571428576,-2959.49,-2.37,SL,2026-01-19 01:05:00,2026-01-20 06:15:00,350,4,bat,True,GHST_TRP: BAT demand [131-136] V=2.1x Q=2 +FakeBO
SOLUSDT,GHST_SE,LONG,131.58,127.60271428571428,127.60271428571428,138.34138571428576,-3067.9,-3.02,SL,2026-01-20 07:15:00,2026-01-20 15:05:00,94,3,injection,False,GHST_SE: INJECTION demand [128-133] V=2.6x Q=3
SOLUSDT,GHST_SE,LONG,126.22,128.48,123.5015,130.84145,1986.7,1.79,SL,2026-01-21 00:00:00,2026-01-21 05:55:00,71,1,bat,False,GHST_SE: BAT demand [124-128] V=2.2x Q=1
SOLUSDT,GHST_BE,SHORT,128.35,123.88,134.02757142857143,118.69812857142854,2260.98,3.48,EXHAUST,2026-01-21 07:05:00,2026-01-25 16:00:00,1259,3,injection,False,GHST_BE: INJECTION supply [127-134] V=3.3x Q=3
SOLUSDT,GHST_BE,SHORT,122.49,117.81,132.8907142857143,104.80878571428568,1305.21,3.82,EXHAUST,2026-01-25 17:00:00,2026-01-25 19:50:00,34,3,injection,False,GHST_BE: INJECTION supply [123-133] V=2.4x Q=3
SOLUSDT,GHST_BE,SHORT,118.47,126.84814285714286,126.84814285714286,104.22715714285714,-3033.63,-7.07,SL,2026-01-25 21:00:00,2026-01-27 20:20:00,568,3,bat,False,GHST_BE: BAT supply [117-127] V=6.5x Q=3
SOLUSDT,GHST_BE,SHORT,127.46,123.23,134.07085714285716,116.22154285714281,1837.26,3.32,EXHAUST,2026-01-27 21:20:00,2026-01-29 02:45:00,353,3,injection,False,GHST_BE: INJECTION supply [127-134] V=3.3x Q=3
SOLUSDT,GHST_BE,SHORT,123.16,118.49,132.8197142857143,106.73848571428569,1401.92,3.79,EXHAUST,2026-01-29 03:50:00,2026-01-29 15:05:00,135,3,injection,False,GHST_BE: INJECTION supply [123-133] V=2.4x Q=3
SOLUSDT,GHST_BE,SHORT,117.0,113.24,126.91171428571428,100.15008571428572,1099.7,3.21,EXHAUST,2026-01-29 16:05:00,2026-01-30 02:20:00,123,3,bat,False,GHST_BE: BAT supply [117-127] V=6.5x Q=3
SOLUSDT,GHST_BE,SHORT,114.29,118.42535714285714,118.42535714285714,107.25989285714289,-3085.64,-3.62,SL,2026-01-30 03:25:00,2026-01-30 18:55:00,186,2,bat,False,GHST_BE: BAT supply [114-118] V=2.7x Q=2
SOLUSDT,GHST_BE,SHORT,118.3,114.7,129.00964285714284,100.09360714285717,965.86,3.04,EXHAUST,2026-01-30 19:55:00,2026-01-31 08:40:00,153,2,bat,False,GHST_BE: BAT supply [116-129] V=2.4x Q=2
