symbol,signal_type,direction,entry_price,exit_price,sl,target,pnl,pnl_pct,exit_type,entry_time,exit_time,hold_bars,zone_quality,reason
ETHUSDT,GHST_SE,LONG,3015.99,3015.99,3001.0114285714285,3045.9471428571424,-119.74,0.0,SL,2026-01-02 04:25:00,2026-01-02 08:00:00,43,2,GHST_SE: Demand zone retest [3004-3128] Q=2 RSI=53
ETHUSDT,GHST_SE,LONG,3048.43,3139.72,3000.550714285714,3139.72,3307.62,2.99,TARGET,2026-01-02 11:10:00,2026-01-02 16:30:00,64,2,GHST_SE: Demand zone retest [3004-3128] Q=2 RSI=51
ETHUSDT,GHST_SE,LONG,3128.83,3139.72,2998.2507142857144,3139.72,179.68,0.35,TARGET,2026-01-02 17:40:00,2026-01-02 22:05:00,53,3,GHST_SE: Demand zone retest [3004-3128] Q=2 RSI=42
ETHUSDT,GHST_BE,SHORT,3127.87,3079.7992857142854,3151.905357142857,3079.7992857142854,1738.11,1.54,TARGET,2026-01-03 00:05:00,2026-01-03 07:20:00,87,2,GHST_BE: Supply zone retest [3112-3150] Q=1 RSI=40
ETHUSDT,GHST_BE,SHORT,3107.96,3151.559642857143,3151.559642857143,3020.760714285714,-1827.65,-1.4,SL,2026-01-03 14:30:00,2026-01-04 00:05:00,115,2,GHST_BE: Supply zone retest [3112-3150] Q=1 RSI=52
ETHUSDT,GHST_BE,SHORT,3158.1,3128.0,3245.010357142857,3128.0,936.45,0.95,TARGET,2026-01-04 01:05:00,2026-01-04 08:00:00,83,3,GHST_BE: Supply zone retest [3140-3240] Q=2 RSI=71
ETHUSDT,GHST_BE,SHORT,3136.18,3128.0,3152.1957142857145,3128.0,194.86,0.26,TARGET,2026-01-04 09:05:00,2026-01-04 15:45:00,80,1,GHST_BE: Supply zone retest [3112-3150] Q=1 RSI=41
ETHUSDT,GHST_BE,SHORT,3139.78,3128.0,3242.3814285714284,3128.0,255.15,0.38,TARGET,2026-01-04 17:00:00,2026-01-04 18:20:00,16,4,GHST_BE: Supply zone retest [3140-3240] Q=2 RSI=65
ETHUSDT,GHST_BE,SHORT,3154.63,3244.0364285714286,3244.0364285714286,3128.0,-3138.43,-2.83,SL,2026-01-05 00:15:00,2026-01-05 20:00:00,237,4,GHST_BE: Supply zone retest [3140-3240] Q=2 RSI=62
ETHUSDT,GHST_SE,LONG,3245.71,3245.71,3188.531071428571,3360.067857142858,-102.14,0.0,SL,2026-01-05 21:00:00,2026-01-06 16:40:00,236,2,GHST_SE: Demand zone retest [3194-3318] Q=2 RSI=65
ETHUSDT,GHST_SE,LONG,3206.96,3244.8892857142864,3187.995357142857,3244.8892857142864,1297.95,1.18,TARGET,2026-01-06 18:00:00,2026-01-06 20:30:00,30,4,GHST_SE: Demand zone retest [3194-3318] Q=2 RSI=30
ETHUSDT,GHST_SE,LONG,3273.78,3188.298214285714,3188.298214285714,3444.7435714285725,-1874.39,-2.61,SL,2026-01-06 22:20:00,2026-01-07 14:10:00,190,2,GHST_SE: Demand zone retest [3194-3318] Q=2 RSI=59
ETHUSDT,GHST_BE,SHORT,3171.25,3128.0,3228.1121428571428,3128.0,1511.18,1.36,TARGET,2026-01-07 16:15:00,2026-01-07 19:15:00,36,4,GHST_BE: Supply zone retest [3166-3223] Q=4 RSI=52
ETHUSDT,GHST_BE,SHORT,3170.99,3128.0,3227.5460714285714,3128.0,1508.5,1.36,TARGET,2026-01-07 23:25:00,2026-01-08 06:05:00,80,6,GHST_BE: Supply zone retest [3166-3223] Q=4 RSI=67
ETHUSDT,GHST_BE,SHORT,3161.95,3128.0,3227.644642857143,3128.0,1175.11,1.07,TARGET,2026-01-12 02:50:00,2026-01-12 08:30:00,68,6,GHST_BE: Supply zone retest [3166-3223] Q=4 RSI=81
ETHUSDT,GHST_BE,SHORT,3332.38,3318.35,3372.1789285714285,3318.35,388.78,0.42,TARGET,2026-01-14 00:10:00,2026-01-14 00:35:00,5,3,GHST_BE: Supply zone retest [3315-3368] Q=3 RSI=42
ETHUSDT,GHST_BE,SHORT,3331.49,3318.35,3371.284642857143,3318.35,356.87,0.39,TARGET,2026-01-14 01:35:00,2026-01-14 10:20:00,105,4,GHST_BE: Supply zone retest [3315-3368] Q=3 RSI=56
ETHUSDT,GHST_BE,SHORT,3316.66,3371.5239285714283,3371.5239285714283,3206.932142857143,-2127.97,-1.65,SL,2026-01-14 14:25:00,2026-01-14 16:10:00,21,4,GHST_BE: Supply zone retest [3315-3368] Q=3 RSI=67
ETHUSDT,GHST_BE,SHORT,3346.59,3318.35,3405.535357142857,3318.35,762.75,0.84,TARGET,2026-01-15 00:00:00,2026-01-15 01:35:00,19,2,GHST_BE: Supply zone retest [3316-3403] Q=1 RSI=44
