S.No,Symbol,Strategy,Entry Time,Exit Time,Per lot,No fo lots,Entry,Target,SL,Exit,Amount Invested,Amount After Close,PnL,Balance,Status,PnL %,Spot Price,Delta,Exit Reason
25,BANKNIFTY 60858 PE,Survivor,18/02/2026 09:56,18/02/2026 10:02,30,1,193.44,38.69,290.16,141.74,5803.2,4252.2,1551.0,231341.45,Closed,26.7,60858.04,-0.3353,TARGET_HIT
26,SENSEX 83300 CE,CPR,18/02/2026 09:56,20/02/2026 10:10,20,1,438.88,789.98,175.55,111.23,8777.6,2224.6,-6553.0,224788.45,Closed,-74.7,83300,0.5012,SL_HIT
27,SENSEX 83300 CE,Ghost Zone,18/02/2026 09:56,20/02/2026 10:10,20,1,438.88,570.54,175.55,113.16,8777.6,2263.2,-6514.4,218274.05,Closed,-74.2,83300,0.5012,SL_HIT
28,SENSEX 82807 PE,Survivor,18/02/2026 09:56,18/02/2026 10:02,20,1,237.62,47.52,356.43,203.29,4752.4,4065.8,686.6,218960.65,Closed,14.4,82806.64,-0.3261,TARGET_HIT
29,NIFTY 25650 CE,CPR,18/02/2026 10:01,-- OPEN --,65,1,148.62,267.52,59.45,,9660.3,,0.0,218960.65,Open,0.0,25650,0.5265,
30,NIFTY 25650 CE,Ghost Zone,18/02/2026 10:01,-- OPEN --,65,1,148.62,193.21,59.45,,9660.3,,0.0,218960.65,Open,0.0,25650,0.5265,
31,BANKNIFTY 60852 PE,Survivor,18/02/2026 10:01,18/02/2026 10:07,30,1,195.43,39.09,293.14,124.15,5862.9,3724.5,2138.4,221099.05,Closed,36.5,60852.48,-0.3382,TARGET_HIT
32,SENSEX 83200 CE,CPR,18/02/2026 10:01,20/02/2026 10:10,20,1,478.69,861.64,191.48,139.15,9573.8,2783.0,-6790.8,214308.25,Closed,-70.9,83200,0.5297,SL_HIT
33,SENSEX 83200 CE,Ghost Zone,18/02/2026 10:01,20/02/2026 10:10,20,1,478.69,622.3,191.48,139.25,9573.8,2785.0,-6788.8,207519.45,Closed,-70.9,83200,0.5297,SL_HIT
34,NIFTY 25532 PE,Survivor,18/02/2026 10:07,18/02/2026 10:13,65,1,76.12,15.22,114.18,59.06,4947.8,3838.9,1108.9,208628.35,Closed,22.4,25531.93,-0.3309,TARGET_HIT
35,BANKNIFTY 60906 PE,Survivor,18/02/2026 10:07,18/02/2026 10:13,30,1,195.45,39.09,293.17,136.61,5863.5,4098.3,1765.2,210393.55,Closed,30.1,60905.64,-0.3363,TARGET_HIT
36,SENSEX 82798 PE,Survivor,18/02/2026 10:07,18/02/2026 10:13,20,1,236.52,47.3,354.78,178.88,4730.4,3577.6,1152.8,211546.35,Closed,24.4,82798.18,-0.3251,TARGET_HIT
37,NIFTY 25532 PE,Survivor,18/02/2026 10:12,18/02/2026 10:18,65,1,76.14,15.23,114.21,60.23,4949.1,3914.95,1034.15,212580.5,Closed,20.9,25531.53,-0.3309,TARGET_HIT
38,BANKNIFTY 60916 PE,Survivor,18/02/2026 10:12,18/02/2026 10:18,30,1,196.13,39.23,294.19,143.22,5883.9,4296.6,1587.3,214167.8,Closed,27.0,60915.74,-0.3366,TARGET_HIT
