timestamp,strategy,symbol,signal_type,spot,strike,opt_type,entry_premium,target,sl,quality_score,dte,iv,vix,reason,wall_strike,wall_oi,max_pain,vwap,oi_confirmed,distance_pct
2026-03-09T11:06:43.664186,Max Pain Magnet,NIFTY,BUY_CE,23863.55,23850,CE,213.8,320.7,138.97,67,1,0.4314,23.73,"Max Pain: MP=24000, Spot=23864 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.57
2026-03-09T11:09:43.751608,Max Pain Magnet,NIFTY,BUY_CE,23865.1,23850,CE,212.6,318.9,138.19,71,1,0.2502333333333333,23.78,"Max Pain: MP=24000, Spot=23865 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.57
2026-03-09T11:12:43.833517,Max Pain Magnet,NIFTY,BUY_CE,23863.55,23850,CE,199.25,298.88,129.51,67,1,0.4314,23.86,"Max Pain: MP=24000, Spot=23864 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.57
2026-03-09T11:15:43.904499,Max Pain Magnet,NIFTY,BUY_CE,23863.55,23850,CE,180.9,271.35,117.59,67,1,0.4314,24.08,"Max Pain: MP=24000, Spot=23864 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.57
2026-03-09T11:18:43.979423,Max Pain Magnet,NIFTY,BUY_CE,23818.2,23800,CE,210.65,315.98,136.92,71,1,0.2574833333333333,23.96,"Max Pain: MP=24000, Spot=23818 (0.8% below) -> BUY_CE, DTE=1",,,24000.0,,,0.76
2026-03-09T11:21:44.057234,Max Pain Magnet,NIFTY,BUY_CE,23830.75,23850,CE,201.4,302.1,130.91,71,1,0.2502333333333333,23.91,"Max Pain: MP=24000, Spot=23831 (0.7% below) -> BUY_CE, DTE=1",,,24000.0,,,0.71
2026-03-09T11:24:44.198359,Max Pain Magnet,NIFTY,BUY_CE,23839.85,23850,CE,214.9,322.35,139.69,67,1,0.4314,23.74,"Max Pain: MP=24000, Spot=23840 (0.7% below) -> BUY_CE, DTE=1",,,24000.0,,,0.67
2026-03-09T11:24:44.198368,Max Pain Magnet,SENSEX,BUY_CE,77021.02,77000,CE,1058.05,1481.27,687.73,55,3,0.357284711249886,23.74,"Max Pain: MP=77900, Spot=77021 (1.1% below) -> BUY_CE, DTE=3",,,77900.0,,,1.14
2026-03-09T11:27:44.282586,Max Pain Magnet,NIFTY,BUY_CE,23847.4,23850,CE,211.15,316.73,137.25,67,1,0.4314,23.74,"Max Pain: MP=24000, Spot=23847 (0.6% below) -> BUY_CE, DTE=1",,,24000.0,,,0.64
2026-03-09T11:27:44.282599,Max Pain Magnet,SENSEX,BUY_CE,77006.81,77000,CE,1041.55,1458.17,677.01,55,3,0.3560036586097996,23.74,"Max Pain: MP=77900, Spot=77007 (1.2% below) -> BUY_CE, DTE=3",,,77900.0,,,1.16
