date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2023-02-13,BUY_PE_GAMMA,56500,56486.0,281.16,427.48,146188.69,-0.505,8.7,5
2023-02-15,BUY_PE_GAMMA,56100,56135.0,280.76,442.48,161595.26,-0.478,9.5,5
2023-02-23,BUY_PE_GAMMA,55600,55600.0,293.53,473.28,179623.31,-0.497,9.4,5
2023-02-24,BUY_PE_GAMMA,55500,55522.0,281.15,436.25,154971.41,-0.485,9.4,5
2023-02-28,BUY_CE_GAMMA,56000,55990.0,544.04,888.84,344595.03,0.501,10.1,15
2023-03-02,BUY_CE_GAMMA,56000,56050.0,429.43,634.68,205077.68,0.522,8.0,13
2023-03-06,BUY_CE_GAMMA,55800,55765.0,317.75,375.77,57877.89,0.486,8.0,9
2023-03-07,BUY_PE_GAMMA,55100,55055.0,353.85,605.94,251948.37,-0.518,8.5,8
2023-03-09,BUY_CE_GAMMA,55300,55300.0,301.46,494.49,192892.3,0.502,8.9,6
2023-03-15,BUY_CE_GAMMA,58200,58230.0,510.15,987.42,477070.62,0.513,15.2,5
2023-03-17,BUY_CE_GAMMA,59300,59255.0,560.95,959.34,398182.5,0.492,17.6,5
2023-03-23,BUY_CE_GAMMA,59500,59490.0,621.61,983.32,361489.3,0.502,18.8,5
2023-03-27,BUY_PE_GAMMA,58600,58572.0,667.67,1094.94,427036.29,-0.501,19.9,5
2023-03-28,BUY_CE_GAMMA,59000,59040.0,1157.38,1743.16,585401.33,0.514,19.9,15
2023-03-30,BUY_CE_GAMMA,59400,59419.0,1078.81,1630.82,551649.65,0.511,20.0,13
2023-04-04,BUY_CE_GAMMA,60400,60450.0,972.6,1684.46,711522.63,0.515,18.9,11
2023-04-06,BUY_PE_GAMMA,60300,60295.0,862.1,975.06,112660.96,-0.493,19.0,9
2023-04-11,BUY_CE_GAMMA,60300,60271.0,550.55,841.35,290592.38,0.496,16.7,5
2023-04-13,BUY_CE_GAMMA,61000,61000.0,554.57,914.82,360040.14,0.504,16.2,5
2023-04-14,BUY_PE_GAMMA,60200,60172.0,596.76,1084.06,487079.43,-0.502,17.3,5
2023-04-18,BUY_CE_GAMMA,60300,60323.0,519.22,628.14,108730.08,0.511,15.0,5
2023-04-19,BUY_PE_GAMMA,60200,60186.0,464.77,139.43,-325521.12,-0.501,13.6,5
2023-04-20,BUY_CE_GAMMA,60400,60375.0,447.24,729.12,281699.09,0.495,13.6,5
2023-04-21,BUY_PE_GAMMA,59800,59820.0,431.35,589.1,157579.74,-0.489,13.2,5
2023-04-24,BUY_CE_GAMMA,59900,59902.0,440.22,668.74,228349.79,0.504,13.1,5
2023-04-25,BUY_CE_GAMMA,60200,60195.0,401.14,587.49,186178.8,0.501,12.0,5
2023-04-26,BUY_PE_GAMMA,59900,59880.0,409.57,620.97,211236.84,-0.504,11.9,5
2023-04-27,BUY_PE_GAMMA,59900,59887.0,405.86,476.81,70777.94,-0.501,11.9,5
2023-04-28,BUY_CE_GAMMA,60100,60100.0,680.42,1012.59,331920.46,0.504,11.7,15
2023-05-01,BUY_CE_GAMMA,60000,60050.0,676.57,202.97,-473839.24,0.516,11.6,14
2023-05-02,BUY_CE_GAMMA,60700,60730.0,694.48,1192.97,498242.9,0.511,12.4,13
2023-05-04,BUY_CE_GAMMA,61600,61650.0,632.87,771.87,138775.51,0.517,11.9,11
2023-05-09,BUY_CE_GAMMA,61300,61349.0,503.03,793.24,290019.86,0.52,12.7,6
2023-05-11,BUY_PE_GAMMA,60900,60875.0,432.5,675.45,242773.63,-0.506,12.3,5
2023-05-15,BUY_CE_GAMMA,61000,60995.0,366.93,562.86,195772.65,0.5,10.8,5
2023-05-16,BUY_PE_GAMMA,60300,60269.0,416.0,693.85,277679.12,-0.509,11.9,5
2023-05-18,BUY_PE_GAMMA,59700,59748.0,383.2,605.22,221860.9,-0.477,12.2,5
2023-05-19,BUY_CE_GAMMA,60400,60400.0,419.37,697.61,278072.43,0.503,12.4,5
2023-05-22,BUY_PE_GAMMA,60300,60280.0,429.81,496.73,66752.11,-0.504,12.4,5
2023-05-23,BUY_CE_GAMMA,60200,60248.0,438.54,660.2,221494.04,0.521,12.3,5
2023-05-24,BUY_PE_GAMMA,59900,59901.0,412.79,655.09,242125.65,-0.496,12.3,5
2023-05-25,BUY_PE_GAMMA,59500,59520.0,409.78,621.54,211591.69,-0.488,12.6,5
2023-05-30,BUY_CE_GAMMA,59900,59871.0,628.68,1146.17,517254.48,0.497,11.9,13
2023-06-07,BUY_PE_GAMMA,59500,59510.0,451.34,712.46,260942.92,-0.492,10.8,8
2023-06-08,BUY_CE_GAMMA,59800,59827.0,451.15,549.95,98622.5,0.513,11.0,7
2023-06-13,BUY_PE_GAMMA,59200,59220.0,329.24,513.18,183797.62,-0.487,10.2,5
2023-06-15,BUY_CE_GAMMA,59300,59265.0,308.0,446.3,138166.13,0.485,9.8,5
2023-06-20,BUY_PE_GAMMA,58700,58744.0,266.5,345.09,78473.22,-0.473,8.8,5
2023-06-22,BUY_PE_GAMMA,58200,58167.0,302.43,487.86,185294.76,-0.515,8.8,5
2023-06-27,BUY_PE_GAMMA,58000,57972.0,278.5,448.37,169738.01,-0.514,8.1,5
2023-06-28,BUY_PE_GAMMA,57800,57835.0,430.45,549.88,119261.6,-0.482,8.0,15
2023-06-30,BUY_CE_GAMMA,58000,58030.0,433.48,682.07,248410.88,0.514,8.0,13
2023-07-03,BUY_CE_GAMMA,58100,58110.0,407.64,468.6,60794.2,0.506,8.0,12
2023-07-05,BUY_CE_GAMMA,58300,58274.0,356.0,118.67,-237484.07,0.491,8.0,10
2023-07-11,BUY_CE_GAMMA,58700,58726.0,276.14,318.89,42629.85,0.517,8.0,5
2023-07-12,BUY_CE_GAMMA,59100,59128.0,278.96,456.27,177176.7,0.519,8.0,5
2023-07-18,BUY_CE_GAMMA,59700,59655.0,245.39,435.81,190308.8,0.475,8.0,5
2023-07-20,BUY_PE_GAMMA,59500,59474.0,279.6,386.7,106967.28,-0.513,8.0,5
2023-07-24,BUY_PE_GAMMA,59000,59010.0,259.29,391.34,131933.49,-0.491,8.0,5
2023-07-26,BUY_CE_GAMMA,59300,59321.0,276.24,320.93,44561.46,0.514,8.0,5
2023-07-27,BUY_PE_GAMMA,58900,58875.0,276.4,526.32,249786.73,-0.512,8.0,5
2023-07-31,BUY_CE_GAMMA,59600,59590.0,410.28,730.69,320241.37,0.499,8.0,12
2023-08-02,BUY_PE_GAMMA,59100,59112.0,478.24,551.99,73571.35,-0.491,9.1,13
2023-08-03,BUY_PE_GAMMA,59000,59000.0,466.48,520.83,54167.18,-0.495,9.1,12
2023-08-07,BUY_PE_GAMMA,59200,59200.0,369.86,419.51,49496.72,-0.496,8.8,8
2023-08-08,BUY_PE_GAMMA,59000,58998.0,350.58,531.45,180725.33,-0.497,8.9,7
2023-08-09,BUY_PE_GAMMA,58700,58710.0,308.53,479.26,170597.81,-0.492,8.7,6
2023-08-17,BUY_PE_GAMMA,58100,58053.0,284.25,465.07,180691.72,-0.526,8.0,5
2023-08-23,BUY_CE_GAMMA,58400,58450.0,287.39,440.4,152875.52,0.532,8.0,5
2023-08-25,BUY_PE_GAMMA,58300,58278.0,272.18,324.27,51957.97,-0.511,8.0,5
2023-08-29,BUY_CE_GAMMA,58800,58850.0,465.51,756.8,291112.72,0.52,8.0,14
2023-09-06,BUY_PE_GAMMA,59100,59105.0,352.37,405.96,53438.73,-0.494,8.0,9
2023-09-08,BUY_PE_GAMMA,58900,58903.0,310.51,485.35,174698.94,-0.495,8.0,7
2023-09-12,BUY_PE_GAMMA,58600,58650.0,238.33,395.3,156858.06,-0.467,8.0,5
2023-09-14,BUY_CE_GAMMA,58600,58600.0,262.44,394.72,132161.2,0.502,8.0,5
2023-09-15,BUY_CE_GAMMA,59000,59000.0,264.23,457.0,192648.71,0.502,8.0,5
2023-09-20,BUY_CE_GAMMA,59400,59360.0,246.43,379.47,132919.63,0.478,8.0,5
2023-09-21,BUY_PE_GAMMA,58800,58832.0,247.73,451.39,203542.26,-0.478,8.0,5
2023-09-25,BUY_PE_GAMMA,58700,58680.0,272.95,420.99,147913.15,-0.509,8.0,5
2023-09-26,BUY_PE_GAMMA,58500,58487.0,268.51,422.38,153749.36,-0.505,8.0,5
2023-09-27,BUY_PE_GAMMA,57900,57869.0,275.02,559.0,283858.85,-0.516,8.0,5
2023-10-05,BUY_CE_GAMMA,56300,56300.0,432.35,702.06,269542.2,0.503,9.7,10
2023-10-06,BUY_CE_GAMMA,56600,56609.0,439.12,655.73,216435.01,0.506,10.2,9
2023-10-09,BUY_CE_GAMMA,57300,57279.0,400.19,668.71,268347.58,0.495,11.7,6
2023-10-11,BUY_CE_GAMMA,57600,57640.0,403.17,652.31,248976.74,0.519,11.9,5
2023-10-12,BUY_PE_GAMMA,57600,57613.0,376.34,552.6,176104.04,-0.491,11.9,5
2023-10-13,BUY_CE_GAMMA,59000,59010.0,520.67,1045.03,524159.82,0.507,15.6,5
2023-10-18,BUY_CE_GAMMA,59700,59675.0,529.2,906.09,376694.05,0.497,16.2,5
2023-10-20,BUY_CE_GAMMA,60400,60375.0,527.26,732.17,204703.07,0.497,16.0,5
2023-10-25,BUY_CE_GAMMA,60600,60643.0,557.23,881.13,323685.35,0.517,15.8,5
