date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2024-08-08,BUY_CE_CPR,80500,80613.0,1820.78,3277.4,1310437.24,0.52,39.7,7,0.38
2024-08-09,SELL_PE_CPR,79500,80543.0,1157.63,1078.94,70369.17,-0.389,39.8,6,0.71
2024-08-12,BUY_CE_CPR,81500,81624.0,1619.78,2915.61,1165772.59,0.522,40.9,5,0.029
2024-08-14,BUY_PE_CPR,80000,80061.0,1434.68,2582.43,1032551.39,-0.484,39.2,5,0.028
2024-08-20,BUY_CE_CPR,84500,84730.0,1878.01,3380.42,1351630.77,0.531,44.6,5,0.187
2024-08-21,BUY_CE_CPR,85000,84863.0,1446.05,2602.89,1040729.75,0.494,38.2,5,0.286
2024-08-22,BUY_PE_CPR,83500,83736.0,1395.03,2511.06,1004013.21,-0.466,38.7,5,0.08
2024-08-27,BUY_CE_CPR,85500,85658.0,1416.22,1203.78,-191606.21,0.526,33.5,5,0.122
2024-08-28,BUY_PE_CPR,84000,83977.0,2332.87,4199.16,1679007.04,-0.486,34.3,15,0.12
2024-08-30,BUY_PE_CPR,83500,83285.0,2298.09,4136.55,1653974.43,-0.501,35.0,13,0.285
2024-09-03,BUY_PE_CPR,81000,81209.0,1747.43,3145.37,1257645.78,-0.47,31.6,12,0.068
2024-09-04,BUY_PE_CPR,81500,81337.0,1860.76,3349.36,1339210.84,-0.503,31.6,11,0.371
2024-09-05,BUY_CE_CPR,83500,83524.0,1846.04,3322.86,1328616.75,0.512,33.3,10,0.19
2024-09-06,BUY_PE_CPR,83000,82757.0,1805.72,3250.29,1299597.25,-0.512,32.4,9,0.285
2024-09-09,SELL_CE_CPR,84500,83645.0,1019.32,765.03,228458.78,0.412,32.7,6,1.023
2024-09-11,BUY_CE_CPR,84500,84450.0,1242.28,2236.11,894072.96,0.501,32.2,5,0.01
2024-09-12,BUY_CE_CPR,87000,87095.0,1429.19,2572.54,1028595.42,0.518,34.0,5,0.264
2024-09-17,BUY_PE_CPR,89000,89140.0,1217.48,2191.46,876218.7,-0.475,31.0,5,0.104
2024-09-18,BUY_PE_CPR,88500,88299.0,1400.45,2520.81,1007912.27,-0.517,31.5,5,0.194
2024-09-19,BUY_CE_CPR,90000,89968.0,1303.82,2346.88,938363.82,0.503,31.4,5,0.276
2024-09-20,BUY_CE_CPR,90000,90135.0,1357.91,2444.23,977292.19,0.523,30.7,5,0.4
2024-09-23,BUY_PE_CPR,89000,89231.0,1186.59,2135.86,853987.93,-0.464,31.2,5,0.01
2024-09-24,BUY_CE_CPR,92500,92393.0,1447.31,2605.15,1041635.32,0.496,34.8,5,0.039
2024-09-25,SELL_PE_CPR,90500,92045.0,767.28,718.41,43668.69,-0.323,33.0,5,1.029
2024-09-26,BUY_CE_CPR,92500,92664.0,1505.09,2709.17,1083226.7,0.526,32.9,5,0.092
2024-09-27,BUY_PE_CPR,91500,91398.0,1423.39,2562.09,1024418.98,-0.504,32.2,5,0.276
2024-09-30,SELL_CE_CPR,92500,90641.0,1396.07,1657.71,-236013.37,0.379,32.0,13,0.616
2024-09-30,SELL_PE_CPR,90500,90641.0,2106.59,2655.74,-495015.68,-0.477,32.0,13,0.616
2024-10-01,BUY_CE_CPR,91500,91375.0,2107.59,3793.66,1516867.93,0.501,30.4,14,0.392
2024-10-03,BUY_CE_CPR,93000,92978.0,2057.97,3704.34,1481152.03,0.508,30.8,12,0.183
2024-10-07,BUY_PE_CPR,92500,92357.0,1675.8,3016.43,1206089.03,-0.505,29.4,8,0.151
2024-10-08,BUY_PE_CPR,88500,88729.0,1658.05,2984.49,1193314.18,-0.469,36.2,7,0.025
2024-10-10,BUY_CE_CPR,90500,90304.0,1447.42,2605.36,1041717.06,0.488,36.6,5,0.056
2024-10-14,BUY_PE_CPR,90500,90736.0,1297.89,2336.2,934092.64,-0.465,33.4,5,0.356
2024-10-15,BUY_CE_CPR,91500,91623.0,1498.78,2697.81,1078684.97,0.521,33.6,5,0.218
2024-10-17,BUY_PE_CPR,91500,91744.0,1303.17,2345.71,937896.65,-0.465,33.3,5,0.139
2024-10-18,BUY_CE_CPR,95500,95402.0,1591.66,2864.99,1145533.09,0.499,36.8,5,0.106
2024-10-22,BUY_CE_CPR,100000,99972.0,1779.57,3203.23,1280781.56,0.506,38.5,5,0.069
2024-10-24,SELL_CE_CPR,99000,97032.0,973.97,941.78,28579.91,0.338,39.1,5,0.914
2024-10-24,SELL_PE_CPR,95000,97032.0,920.15,425.46,444852.69,-0.313,39.1,5,0.914
2024-10-25,BUY_CE_CPR,97000,97134.0,1836.1,3304.99,1321469.08,0.521,39.1,5,0.189
2024-10-28,BUY_CE_CPR,97500,97424.0,2967.18,5340.93,2135551.54,0.51,38.2,15,0.198
2024-10-29,BUY_CE_CPR,98500,98730.0,3041.64,5474.95,2189137.95,0.526,38.1,14,0.28
2024-10-30,BUY_PE_CPR,97500,97740.0,2711.89,4881.41,1951809.2,-0.471,38.6,13,0.293
2024-10-31,BUY_PE_CPR,94500,94735.0,2695.21,4851.39,1939804.03,-0.471,41.2,12,0.007
2024-11-01,SELL_CE_CPR,96500,95483.0,2606.22,2193.53,370454.16,0.463,41.3,14,0.766
2024-11-04,BUY_PE_CPR,94500,94284.0,2810.58,5059.05,2022839.47,-0.497,41.4,11,0.138
2024-11-05,BUY_CE_CPR,94500,94648.0,2324.19,4183.54,1672762.87,0.521,36.1,10,0.129
2024-11-06,BUY_PE_CPR,91000,90820.0,2462.48,4432.46,1772294.34,-0.498,41.7,9,0.009
2024-11-07,SELL_CE_CPR,93000,92313.0,1954.16,1563.33,351015.75,0.464,41.7,8,0.906
2024-11-08,SELL_PE_CPR,91000,91269.0,1956.13,1564.9,351369.76,-0.468,41.5,7,0.754
2024-11-11,BUY_PE_CPR,89000,89182.0,1683.28,3029.9,1211473.38,-0.473,42.7,5,0.352
2024-11-12,SELL_PE_CPR,87500,89327.0,983.81,521.81,415413.96,-0.329,42.4,5,0.816
2024-11-14,BUY_PE_CPR,89000,88870.0,1815.81,3268.46,1306861.43,-0.502,42.2,5,0.389
2024-11-15,SELL_CE_CPR,90000,88421.0,881.29,556.84,291650.55,0.349,37.1,5,0.706
2024-11-15,SELL_PE_CPR,87500,88421.0,1105.89,887.64,195991.77,-0.396,37.1,5,0.706
2024-11-20,BUY_PE_CPR,90000,90089.0,1311.96,2361.53,944222.69,-0.482,32.3,5,0.167
2024-11-21,BUY_PE_CPR,90000,89925.0,1390.04,2502.08,1000421.78,-0.501,32.2,5,0.082
2024-11-22,BUY_CE_CPR,91000,90768.0,1275.31,2295.55,917840.4,0.481,32.7,5,0.166
2024-11-25,BUY_PE_CPR,87500,87699.0,1358.68,2445.62,977845.43,-0.47,35.6,5,0.252
2024-11-26,SELL_CE_CPR,89000,88250.0,1099.95,942.15,141586.95,0.426,34.9,5,0.936
2024-11-27,BUY_PE_CPR,87500,87680.0,1336.12,2405.01,961607.07,-0.471,34.9,5,0.068
2024-11-29,BUY_CE_CPR,89000,88881.0,2216.44,3989.59,1595210.09,0.503,32.8,14,0.383
2024-12-02,SELL_PE_CPR,87000,88695.0,1405.6,857.34,492897.95,-0.364,32.5,13,0.774
2024-12-03,BUY_CE_CPR,89500,89745.0,2266.94,4080.49,1631559.0,0.529,33.1,12,0.164
2024-12-04,BUY_CE_CPR,90500,90702.0,1829.72,3293.5,1316875.7,0.527,27.6,11,0.099
2024-12-09,BUY_CE_CPR,95000,95197.0,1463.85,2634.93,1053543.17,0.53,28.1,6,0.078
2024-12-11,BUY_CE_CPR,96000,95802.0,1153.79,2076.82,830379.75,0.481,27.9,5,0.294
2024-12-12,BUY_PE_CPR,92500,92633.0,1353.33,2435.99,973993.99,-0.477,32.9,5,0.172
2024-12-13,SELL_PE_CPR,90500,91001.0,1203.66,962.93,216189.11,-0.437,34.0,5,1.346
2024-12-16,BUY_CE_CPR,91000,91183.0,1463.91,2635.03,1053583.84,0.528,32.3,5,0.276
2024-12-17,BUY_PE_CPR,91000,90875.0,1433.47,2580.24,1031675.6,-0.507,32.3,5,0.017
2024-12-18,BUY_PE_CPR,90500,90380.0,1422.68,2560.82,1023908.72,-0.506,32.3,5,0.228
2024-12-19,BUY_PE_CPR,87000,87187.0,1390.32,2502.58,1000621.31,-0.471,36.5,5,0.095
2024-12-20,SELL_CE_CPR,89000,88392.0,1239.54,991.63,222635.08,0.445,36.8,5,0.672
2024-12-20,SELL_PE_CPR,85500,88392.0,473.05,388.27,76084.95,-0.214,36.8,5,0.672
2024-12-23,SELL_CE_CPR,89500,89118.0,1201.22,960.98,215751.05,0.463,33.2,5,0.65
2024-12-24,BUY_CE_CPR,89500,89360.0,1312.84,2363.11,944853.64,0.491,33.1,5,0.079
2024-12-26,BUY_CE_CPR,90000,89762.0,1266.86,2280.35,911760.97,0.48,33.0,5,0.113
2024-12-27,BUY_PE_CPR,89000,88887.0,1440.51,2592.92,1036743.03,-0.505,33.3,5,0.15
2025-01-01,BUY_CE_CPR,87500,87578.0,2312.97,4163.35,1664688.97,0.517,33.3,14,0.136
2025-01-02,BUY_CE_CPR,89000,89173.0,2370.23,4266.42,1705903.11,0.524,34.1,13,0.121
2025-01-03,BUY_CE_CPR,89000,89221.0,2306.77,4152.19,1660226.72,0.527,34.1,12,0.324
2025-01-06,BUY_CE_CPR,90500,90554.0,1922.73,3460.91,1383815.11,0.514,33.5,9,0.195
2025-01-07,BUY_CE_CPR,91000,90873.0,1550.51,2790.91,1115913.66,0.496,30.1,8,0.327
2025-01-08,BUY_CE_CPR,91000,90938.0,1474.28,2653.71,1061052.57,0.501,30.0,7,0.111
2025-01-09,BUY_CE_CPR,91500,91711.0,1527.33,2749.19,1099230.66,0.531,30.3,6,0.179
2025-01-10,BUY_CE_CPR,92500,92506.0,1141.99,2055.58,821885.76,0.507,26.4,5,0.067
2025-01-13,BUY_PE_CPR,90500,90513.0,1136.69,2046.04,818072.62,-0.491,27.1,5,0.177
2025-01-14,SELL_CE_CPR,92000,90556.0,571.54,564.73,5873.67,0.314,27.1,5,0.697
2025-01-14,SELL_PE_CPR,89000,90556.0,521.41,216.47,274220.07,-0.286,27.1,5,0.697
2025-01-15,BUY_CE_CPR,93000,92856.0,1208.33,2174.99,869632.94,0.489,29.5,5,0.073
2025-01-16,SELL_CE_CPR,94000,92803.0,768.43,345.8,380051.89,0.361,29.3,5,0.805
2025-01-17,BUY_PE_CPR,91500,91602.0,978.37,1761.07,704124.35,-0.478,24.1,5,0.275
2025-01-20,BUY_PE_CPR,91500,91442.0,1031.71,1857.09,742517.86,-0.503,23.5,5,0.216
2025-01-21,BUY_CE_CPR,92000,92091.0,1052.08,1893.75,757177.14,0.519,23.4,5,0.067
2025-01-23,BUY_PE_CPR,91000,91149.0,941.94,1695.49,677903.62,-0.471,23.9,5,0.014
2025-01-24,BUY_CE_CPR,91500,91599.0,1048.13,1886.63,754329.34,0.521,23.4,5,0.119
2025-01-27,BUY_PE_CPR,90000,90223.0,873.18,1571.73,628415.13,-0.458,23.3,5,0.31
2025-01-28,BUY_CE_CPR,91000,91051.0,1747.11,3144.8,1257417.87,0.513,23.5,15,0.114
2025-01-29,BUY_CE_CPR,92000,91866.0,1628.56,2931.41,1172090.49,0.495,23.7,14,0.391
2025-01-30,BUY_CE_CPR,93500,93446.0,1623.33,2922.0,1168328.46,0.502,23.5,13,0.121
2025-01-31,BUY_CE_CPR,93500,93453.0,1563.03,2813.45,1124926.03,0.503,23.5,12,0.318
2025-02-03,BUY_CE_CPR,94500,94257.0,1462.64,2632.75,1052669.65,0.483,23.2,12,0.179
2025-02-04,SELL_CE_CPR,96000,95709.0,1451.63,1161.3,260735.8,0.478,24.0,11,0.717
2025-02-06,BUY_PE_CPR,95500,95588.0,1379.49,2483.08,992825.66,-0.482,23.8,9,0.064
2025-02-10,BUY_PE_CPR,95500,95295.0,1040.53,1456.74,374271.33,-0.529,21.0,5,0.373
2025-02-11,BUY_PE_CPR,94500,94568.0,773.62,1392.52,556757.65,-0.482,18.3,5,0.152
2025-02-12,BUY_CE_CPR,95500,95502.0,836.43,1505.58,601965.76,0.504,18.8,5,0.349
2025-02-13,SELL_CE_CPR,96500,95233.0,307.08,130.03,159185.93,0.262,17.5,5,0.617
2025-02-13,SELL_PE_CPR,94500,95233.0,462.62,437.29,22590.16,-0.349,17.5,5,0.617
2025-02-14,BUY_CE_CPR,95500,95586.0,820.0,1476.0,590139.77,0.521,17.4,5,0.074
2025-02-17,SELL_PE_CPR,94000,95580.0,220.48,43.96,158742.73,-0.202,17.3,5,0.794
2025-02-18,BUY_CE_CPR,97000,96848.0,738.83,1329.89,531714.4,0.474,18.0,5,0.112
2025-02-20,BUY_CE_CPR,97000,97113.0,853.25,1535.85,614070.68,0.526,17.6,5,0.222
2025-02-21,BUY_PE_CPR,96000,96200.0,638.56,1149.42,459552.38,-0.453,16.4,5,0.04
2025-02-24,BUY_PE_CPR,95000,95089.0,731.95,1317.52,526769.21,-0.477,17.5,5,0.205
2025-02-25,BUY_PE_CPR,94000,93853.0,888.01,1598.42,639087.9,-0.524,18.5,5,0.354
2025-02-27,BUY_PE_CPR,93500,93635.0,720.49,1296.89,518520.34,-0.468,18.0,5,0.325
2025-02-28,BUY_PE_CPR,93000,92887.0,1434.5,2582.11,1032420.45,-0.504,18.4,15,0.162
2025-03-03,BUY_CE_CPR,94500,94533.0,1347.31,2425.15,969662.36,0.51,19.5,12,0.099
2025-03-05,BUY_CE_CPR,96000,96066.0,1252.85,2255.13,901677.6,0.514,19.3,10,0.18
2025-03-07,BUY_PE_CPR,97000,97201.0,1168.59,2103.46,841033.02,-0.468,22.1,8,0.221
2025-03-10,BUY_PE_CPR,96500,96465.0,1029.1,1852.38,740637.94,-0.5,22.5,5,0.164
2025-03-12,BUY_CE_CPR,99500,99476.0,1088.81,1959.86,783611.86,0.502,23.7,5,0.371
2025-03-13,BUY_CE_CPR,100500,100545.0,1144.44,2059.99,823649.62,0.512,23.9,5,0.381
2025-03-14,BUY_CE_CPR,100500,100738.0,1245.68,2242.22,896515.44,0.539,23.9,5,0.353
2025-03-17,BUY_PE_CPR,100500,100536.0,1106.95,1992.51,796666.16,-0.489,24.0,5,0.194
2025-03-18,BUY_CE_CPR,101500,101269.0,1001.53,1802.75,720793.09,0.472,23.5,5,0.19
2025-03-19,BUY_PE_CPR,100000,99924.0,1179.41,2122.95,848822.98,-0.504,24.5,5,0.099
2025-03-21,BUY_PE_CPR,98000,97884.0,1212.84,2183.11,872878.91,-0.51,25.3,5,0.171
2025-03-24,BUY_PE_CPR,97500,97493.0,1123.66,2022.59,808694.28,-0.495,24.6,5,0.13
2025-03-25,BUY_CE_CPR,99000,99153.0,1215.11,2187.19,874511.52,0.527,24.6,5,0.29
2025-03-26,BUY_CE_CPR,99500,99486.0,1127.73,2029.91,811620.74,0.503,24.4,5,0.297
2025-03-27,BUY_CE_CPR,101500,101313.0,1072.44,1930.4,771831.04,0.48,24.6,5,0.07
2025-04-01,BUY_PE_CPR,99500,99461.0,1903.62,3426.52,1370063.76,-0.493,24.3,14,0.081
2025-04-02,BUY_CE_CPR,100000,99753.0,1651.93,2973.48,1188912.82,0.486,23.6,13,0.37
2025-04-03,BUY_PE_CPR,94500,94399.0,2369.53,4265.16,1705399.51,-0.494,34.0,12,0.069
2025-04-07,SELL_CE_CPR,91500,88248.0,1352.89,1285.83,59830.81,0.327,50.4,8,2.229
2025-04-08,SELL_CE_CPR,90000,88744.0,1863.97,2981.29,-1006293.22,0.432,49.5,7,0.604
2025-04-10,SELL_CE_CPR,93000,91595.0,1550.87,756.2,714607.02,0.41,50.7,5,0.769
2025-04-11,BUY_CE_CPR,94500,94286.0,2228.89,4012.0,1604171.79,0.497,53.0,5,0.086
2025-04-15,BUY_CE_CPR,95000,94774.0,2233.51,1898.49,-302154.45,0.497,53.0,5,0.311
2025-04-16,BUY_CE_CPR,96000,96250.0,2522.71,4540.88,1815647.04,0.529,53.4,5,0.068
2025-04-17,BUY_PE_CPR,95000,95037.0,2359.54,4247.17,1698205.94,-0.485,53.7,5,0.305
2025-04-21,BUY_CE_CPR,95000,95247.0,2490.09,4482.17,1792171.2,0.529,53.3,5,0.097
2025-04-22,BUY_CE_CPR,96000,95879.0,2329.95,4193.91,1676908.1,0.504,53.4,5,0.309
2025-04-23,BUY_CE_CPR,98000,97799.0,2350.77,4231.38,1691890.14,0.499,53.7,5,0.306
2025-04-24,SELL_PE_CPR,96500,97511.0,1954.52,1663.66,261045.78,-0.421,53.6,5,0.715
2025-04-25,BUY_PE_CPR,96500,96441.0,2411.98,4341.57,1735952.33,-0.491,52.9,5,0.145
2025-04-28,BUY_PE_CPR,96500,96464.0,4130.66,7435.19,2972948.78,-0.479,52.9,15,0.154
2025-04-29,BUY_CE_CPR,97000,96862.0,3929.23,7072.62,2827974.62,0.514,52.9,14,0.291
2025-04-30,BUY_PE_CPR,94500,94664.0,3743.32,6737.98,2694168.69,-0.472,53.9,13,0.074
2025-05-01,BUY_PE_CPR,93500,93583.0,3889.73,7001.51,2799541.96,-0.474,53.9,14,0.105
2025-05-02,BUY_PE_CPR,93500,93289.0,3434.43,2919.26,-464591.45,-0.491,47.5,13,0.199
2025-05-05,BUY_CE_CPR,93500,93419.0,1640.34,2952.62,1180572.26,0.5,27.3,10,0.25
2025-05-06,BUY_CE_CPR,96500,96701.0,1960.35,3528.63,1410891.82,0.526,30.8,9,0.163
2025-05-07,BUY_PE_CPR,95500,95733.0,1662.76,2992.97,1196705.05,-0.469,31.5,8,0.388
2025-05-08,BUY_CE_CPR,96500,96512.0,1577.9,2840.23,1135631.3,0.509,29.5,7,0.327
2025-05-12,BUY_PE_CPR,95500,95344.0,1304.47,2348.05,938834.2,-0.513,27.5,5,0.18
2025-05-13,BUY_CE_CPR,97000,96767.0,1162.3,2092.15,836508.38,0.477,28.2,5,0.059
2025-05-14,BUY_PE_CPR,95500,95466.0,1309.88,2357.79,942727.84,-0.497,29.0,5,0.034
2025-05-15,BUY_CE_CPR,96000,95915.0,1218.25,2192.85,876773.35,0.495,28.2,5,0.398
