date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte,cpr_width
2023-09-11,SELL_CE_CPR,220,217.1,6.79,8.5,-2684449.97,0.462,80.0,5,0.768
2023-09-11,SELL_PE_CPR,215,217.1,7.05,10.29,-5065744.52,-0.44,80.0,5,0.768
2023-09-14,SELL_CE_CPR,230,225.9,6.61,11.72,-7987258.26,0.442,80.0,5,1.062
2023-09-15,SELL_PE_CPR,220,221.5,7.51,8.67,-1816208.17,-0.452,80.0,5,1.159
2023-09-18,SELL_PE_CPR,220,226.9,5.34,5.22,180084.09,-0.353,80.0,5,0.705
2023-09-21,BUY_PE_CPR,220,218.1,9.16,16.48,11441207.56,-0.518,80.0,5,0.336
2023-09-22,SELL_CE_CPR,225,218.4,5.39,5.22,261981.99,0.393,80.0,5,1.679
2023-09-25,BUY_PE_CPR,220,217.5,9.47,8.05,-2223991.94,-0.53,80.0,5,0.322
2023-09-29,BUY_CE_CPR,245,246.6,16.12,29.02,20144029.58,0.546,80.0,14,0.392
2023-10-03,SELL_PE_CPR,240,245.5,11.43,18.05,-10354333.85,-0.409,80.0,12,0.923
2023-10-04,SELL_CE_CPR,250,250.3,13.97,18.46,-7028781.61,0.53,80.0,11,1.252
2023-10-05,BUY_CE_CPR,265,265.4,14.18,25.52,17712351.94,0.53,80.0,10,0.088
2023-10-06,SELL_CE_CPR,275,275.7,14.12,16.52,-3762784.66,0.532,80.0,9,2.007
2023-10-09,SELL_CE_CPR,285,281.1,9.72,14.94,-8165968.0,0.466,80.0,6,1.257
2023-10-12,BUY_CE_CPR,280,278.9,9.89,17.79,12351981.86,0.501,80.0,5,0.06
2023-10-13,BUY_PE_CPR,270,270.4,9.88,17.79,12347796.77,-0.475,80.0,5,0.259
2023-10-17,BUY_PE_CPR,255,256.3,8.9,16.02,11123706.3,-0.459,80.0,5,0.377
2023-10-18,BUY_CE_CPR,255,256.6,10.36,18.65,12949949.11,0.545,80.0,5,0.182
2023-10-20,SELL_PE_CPR,240,241.6,8.21,6.57,2559605.78,-0.453,80.0,5,1.421
2023-10-25,BUY_CE_CPR,250,249.2,8.92,16.05,11143034.47,0.505,80.0,5,0.107
2023-10-26,BUY_CE_CPR,265,264.3,9.53,17.15,11905151.7,0.507,80.0,5,0.101
2023-11-01,SELL_PE_CPR,290,291.3,17.46,22.7,-8190019.65,-0.456,80.0,14,2.861
2023-11-03,BUY_CE_CPR,290,291.8,17.7,31.85,22112800.8,0.545,80.0,12,0.263
2023-11-06,BUY_PE_CPR,270,271.9,12.62,22.72,15770263.96,-0.452,80.0,9,0.135
2023-11-08,SELL_PE_CPR,255,258.4,9.71,7.77,3027967.53,-0.43,80.0,7,1.225
2023-11-09,SELL_CE_CPR,265,256.6,6.98,11.45,-6985046.18,0.396,80.0,6,0.663
2023-11-09,SELL_PE_CPR,255,256.6,9.67,12.55,-4501072.4,-0.455,80.0,6,0.663
2023-11-13,BUY_CE_CPR,260,262.5,11.05,19.88,13802732.77,0.559,80.0,5,0.152
2023-11-14,SELL_CE_CPR,275,259.0,3.94,2.75,1860170.15,0.276,80.0,5,0.837
2023-11-15,SELL_PE_CPR,255,269.2,4.28,4.79,-800216.53,-0.266,80.0,5,1.09
2023-11-17,SELL_CE_CPR,265,244.6,2.59,5.74,-4913463.43,0.209,80.0,5,2.18
2023-11-20,SELL_PE_CPR,235,241.6,5.98,2.47,5483447.29,-0.366,80.0,5,1.531
2023-11-21,BUY_PE_CPR,240,239.1,9.39,16.91,11737872.13,-0.497,80.0,5,0.376
2023-11-23,BUY_CE_CPR,240,242.3,10.19,18.35,12735610.62,0.559,80.0,5,0.22
2023-11-30,BUY_PE_CPR,235,234.8,14.2,25.56,17746408.22,-0.471,80.0,13,0.114
2023-12-01,BUY_CE_CPR,235,235.8,15.06,27.12,18823856.85,0.538,80.0,14,0.198
2023-12-05,SELL_CE_CPR,230,227.3,10.75,15.66,-7683061.65,0.49,80.0,10,0.983
2023-12-07,SELL_CE_CPR,225,215.4,6.29,6.48,-303150.64,0.378,80.0,8,2.507
2023-12-07,SELL_PE_CPR,205,215.4,5.57,3.02,3978197.98,-0.316,80.0,8,2.507
2023-12-08,SELL_CE_CPR,220,217.8,8.6,5.27,5192901.95,0.485,80.0,7,0.719
2023-12-08,SELL_PE_CPR,210,217.8,6.05,6.03,28622.31,-0.35,80.0,7,0.719
2023-12-12,SELL_CE_CPR,210,195.7,2.47,2.99,-817895.97,0.24,80.0,5,1.431
2023-12-13,SELL_CE_CPR,200,197.2,6.09,5.44,1015491.19,0.458,80.0,5,1.606
2023-12-13,SELL_PE_CPR,190,197.2,4.19,8.38,-6546157.36,-0.328,80.0,5,1.606
2023-12-14,SELL_CE_CPR,205,197.0,4.17,2.15,3155118.17,0.352,80.0,5,1.387
2023-12-15,BUY_CE_CPR,210,210.5,8.1,14.57,10116479.08,0.528,80.0,5,0.174
2023-12-18,SELL_CE_CPR,220,213.5,5.25,1.87,5270984.35,0.392,80.0,5,1.702
2023-12-20,SELL_CE_CPR,215,206.2,4.23,8.46,-6611974.64,0.344,80.0,5,1.051
2023-12-20,SELL_PE_CPR,200,206.2,4.88,3.62,1965182.83,-0.354,80.0,5,1.051
2023-12-21,SELL_PE_CPR,200,216.1,2.23,2.8,-896919.13,-0.191,80.0,5,1.064
2023-12-22,SELL_PE_CPR,205,216.8,3.34,3.6,-417018.71,-0.259,80.0,5,2.214
2023-12-26,SELL_PE_CPR,210,212.2,6.83,11.39,-7142636.18,-0.437,80.0,5,1.194
2023-12-28,BUY_CE_CPR,215,212.7,12.67,22.8,15828237.21,0.505,80.0,15,0.157
2023-12-29,SELL_PE_CPR,205,211.0,10.18,9.07,1729566.81,-0.395,80.0,14,1.485
2024-01-01,BUY_CE_CPR,215,214.2,12.97,23.35,16208274.86,0.52,80.0,14,0.031
2024-01-02,SELL_CE_CPR,215,212.4,11.57,19.6,-12551854.26,0.497,80.0,13,0.659
2024-01-02,SELL_PE_CPR,210,212.4,11.52,14.63,-4864013.62,-0.439,80.0,13,0.659
2024-01-05,SELL_PE_CPR,230,236.8,9.2,16.93,-12079799.23,-0.387,80.0,10,1.042
2024-01-08,SELL_CE_CPR,245,237.5,7.31,3.96,5234324.63,0.41,80.0,7,1.74
2024-01-08,SELL_PE_CPR,230,237.5,7.0,13.99,-10936980.38,-0.365,80.0,7,1.74
2024-01-12,SELL_CE_CPR,280,270.8,6.33,10.7,-6840630.52,0.378,80.0,5,1.969
2024-01-12,SELL_PE_CPR,250,270.8,2.66,3.77,-1746469.85,-0.184,80.0,5,1.969
2024-01-17,SELL_PE_CPR,235,237.4,7.66,12.25,-7166876.52,-0.438,80.0,5,1.685
2024-01-18,SELL_CE_CPR,245,225.2,2.21,4.41,-3447336.13,0.197,80.0,5,0.622
2024-01-22,SELL_PE_CPR,205,203.7,8.29,13.25,-7751329.15,-0.508,80.0,5,1.685
2024-01-24,BUY_CE_CPR,215,215.3,8.18,14.72,10218012.21,0.524,80.0,5,0.31
2024-01-25,SELL_CE_CPR,225,210.5,2.85,5.7,-4456714.69,0.253,80.0,5,0.982
2024-01-25,SELL_PE_CPR,205,210.5,5.31,4.25,1656272.06,-0.371,80.0,5,0.982
2024-01-30,SELL_CE_CPR,180,173.5,7.68,7.54,219358.39,0.432,80.0,13,1.114
2024-01-30,SELL_PE_CPR,170,173.5,8.66,6.18,3862306.22,-0.416,80.0,13,1.114
2024-01-31,BUY_CE_CPR,175,176.8,11.07,19.93,13834643.9,0.556,80.0,12,0.377
2024-02-02,SELL_CE_CPR,180,174.3,8.03,6.68,2112901.58,0.444,80.0,13,1.377
2024-02-02,SELL_PE_CPR,165,174.3,6.21,4.9,2035003.43,-0.33,80.0,13,1.377
2024-02-05,SELL_CE_CPR,175,173.3,8.35,6.89,2281820.56,0.496,80.0,10,0.731
2024-02-05,SELL_PE_CPR,170,173.3,7.49,6.3,1860043.94,-0.416,80.0,10,0.731
2024-02-06,BUY_PE_CPR,170,170.5,8.27,14.88,10328308.35,-0.465,80.0,9,0.137
2024-02-12,SELL_PE_CPR,150,151.0,5.13,6.01,-1374704.73,-0.453,80.0,5,0.883
2024-02-14,SELL_PE_CPR,135,135.1,4.99,3.99,1555833.77,-0.478,80.0,5,2.418
2024-02-15,SELL_CE_CPR,140,134.0,2.66,5.33,-4161903.46,0.337,80.0,5,1.194
2024-02-15,SELL_PE_CPR,130,134.0,3.18,1.52,2600019.4,-0.355,80.0,5,1.194
2024-02-16,SELL_CE_CPR,140,133.7,2.56,2.15,646827.91,0.328,80.0,5,0.848
2024-02-16,SELL_PE_CPR,130,133.7,3.29,1.93,2119902.18,-0.364,80.0,5,0.848
2024-02-19,BUY_PE_CPR,130,130.0,4.85,8.73,6060184.15,-0.481,80.0,5,0.282
2024-02-20,BUY_CE_CPR,130,131.8,5.84,10.5,7291371.45,0.576,80.0,5,0.152
2024-02-21,BUY_CE_CPR,145,147.4,6.74,12.13,8417907.02,0.587,80.0,5,0.045
2024-02-26,SELL_CE_CPR,140,135.0,3.01,6.03,-4710922.9,0.366,80.0,5,1.481
2024-02-28,SELL_CE_CPR,155,156.7,10.92,12.91,-3115495.89,0.557,80.0,15,1.255
2024-02-29,SELL_CE_CPR,160,157.0,8.45,5.99,3832614.32,0.482,80.0,14,1.465
2024-02-29,SELL_PE_CPR,150,157.0,6.47,6.22,395380.14,-0.355,80.0,14,1.465
2024-03-01,BUY_PE_CPR,155,153.1,10.57,19.03,13210731.79,-0.499,80.0,14,0.283
2024-03-05,SELL_PE_CPR,155,160.0,6.04,4.67,2145561.85,-0.379,80.0,10,1.271
2024-03-06,BUY_CE_CPR,160,161.3,8.7,15.66,10869172.7,0.55,80.0,9,0.021
2024-03-07,BUY_PE_CPR,155,154.0,7.8,14.03,9740885.4,-0.497,80.0,8,0.022
2024-03-08,SELL_PE_CPR,150,151.7,5.84,9.31,-5431442.3,-0.437,80.0,7,1.78
2024-03-12,SELL_CE_CPR,150,141.7,2.27,4.54,-3547640.25,0.287,80.0,5,0.988
2024-03-13,SELL_PE_CPR,135,140.1,2.98,1.01,3083288.72,-0.329,80.0,5,2.189
2024-03-14,BUY_CE_CPR,145,143.3,4.57,8.23,5711840.52,0.468,80.0,5,0.14
2024-03-15,SELL_CE_CPR,145,138.4,2.63,5.26,-4110866.2,0.326,80.0,5,1.301
2024-03-18,SELL_CE_CPR,145,141.7,3.86,6.56,-4222457.74,0.421,80.0,5,2.0
2024-03-20,BUY_PE_CPR,140,141.9,4.36,7.85,5452555.58,-0.424,80.0,5,0.0
2024-03-21,SELL_PE_CPR,140,139.9,5.27,6.62,-2114989.61,-0.484,80.0,5,0.762
2024-03-22,BUY_PE_CPR,140,139.4,5.52,9.93,6893746.05,-0.499,80.0,5,0.191
2024-03-25,BUY_PE_CPR,135,135.3,4.89,8.81,6114766.42,-0.471,80.0,5,0.197
2024-03-26,BUY_CE_CPR,150,150.7,5.97,10.74,7454452.17,0.538,80.0,5,0.265
2024-03-28,SELL_CE_CPR,150,146.5,7.91,6.33,2467358.82,0.473,80.0,15,1.047
2024-03-28,SELL_PE_CPR,140,146.5,6.35,5.4,1479724.87,-0.358,80.0,15,1.047
2024-04-01,SELL_PE_CPR,145,153.9,5.53,7.62,-3261390.34,-0.322,80.0,14,0.671
2024-04-02,SELL_CE_CPR,160,156.6,7.9,4.34,5560023.16,0.472,80.0,13,1.894
2024-04-02,SELL_PE_CPR,145,156.6,4.42,5.08,-1046604.17,-0.279,80.0,13,1.894
2024-04-03,SELL_CE_CPR,160,155.3,6.94,5.39,2414325.57,0.446,80.0,12,1.331
2024-04-03,SELL_PE_CPR,150,155.3,6.41,5.52,1385356.09,-0.377,80.0,12,1.331
2024-04-05,SELL_CE_CPR,155,151.5,6.45,4.94,2345340.44,0.457,80.0,10,0.726
2024-04-05,SELL_PE_CPR,145,151.5,4.99,4.19,1246428.3,-0.345,80.0,10,0.726
2024-04-08,SELL_CE_CPR,155,154.1,6.38,7.44,-1664961.53,0.501,80.0,7,0.671
2024-04-08,SELL_PE_CPR,150,154.1,4.86,9.26,-6878847.77,-0.382,80.0,7,0.671
2024-04-09,SELL_CE_CPR,160,155.1,4.28,7.27,-4664334.3,0.4,80.0,6,1.547
2024-04-10,SELL_CE_CPR,160,157.7,4.85,7.44,-4052008.49,0.457,80.0,5,0.867
2024-04-12,SELL_PE_CPR,140,148.5,2.17,0.97,1872985.02,-0.249,80.0,5,1.953
2024-04-16,SELL_CE_CPR,145,144.6,5.2,4.16,1623224.27,0.506,80.0,5,1.798
2024-04-17,SELL_PE_CPR,140,142.8,3.99,5.8,-2825589.67,-0.398,80.0,5,1.237
2024-04-19,BUY_PE_CPR,145,146.8,4.59,8.26,5736718.3,-0.429,80.0,5,0.045
2024-04-22,BUY_CE_CPR,150,148.5,4.85,8.73,6061250.99,0.475,80.0,5,0.337
2024-04-23,SELL_CE_CPR,150,149.1,5.14,3.29,2893053.08,0.493,80.0,5,0.738
2024-04-23,SELL_PE_CPR,145,149.1,3.68,3.3,595495.15,-0.365,80.0,5,0.738
2024-04-24,BUY_PE_CPR,140,142.1,4.28,7.7,5347336.76,-0.418,80.0,5,0.399
2024-04-30,SELL_CE_CPR,175,164.8,5.91,11.81,-9232427.88,0.373,80.0,13,1.375
2024-04-30,SELL_PE_CPR,165,164.8,10.0,8.0,3118836.69,-0.472,80.0,13,1.375
2024-05-01,SELL_PE_CPR,160,162.8,8.72,5.38,5208676.1,-0.424,80.0,14,2.068
2024-05-02,BUY_CE_CPR,170,170.0,10.21,18.37,12752854.89,0.529,80.0,13,0.039
2024-05-07,SELL_PE_CPR,180,184.2,6.65,9.86,-5021237.53,-0.399,80.0,8,0.941
