entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2022-11-21 03:45:00,2022-11-22 03:45:00,BUY_PE,42346.55078125,42457.05078125,42300,123.38,35.42,30,-2738.93,VWAP Bounce
2022-11-22 03:45:00,2022-11-23 03:45:00,BUY_CE,42457.05078125,42729.1015625,42500,76.9,226.8,30,4397.09,VWAP Bounce
2022-11-29 03:45:00,2022-11-30 03:45:00,BUY_CE,43053.44921875,43231.0,43100,59.88,139.29,30,2282.44,VWAP Bounce
2022-12-02 03:45:00,2022-12-05 03:45:00,BUY_PE,43103.75,43332.94921875,43100,153.5,30.15,30,-3800.55,VWAP Bounce
2022-12-06 03:45:00,2022-12-07 03:45:00,BUY_PE,43138.55078125,43098.69921875,43100,54.45,47.71,30,-302.16,VWAP Bounce
2023-01-02 03:45:00,2023-01-04 03:45:00,BUY_CE,43203.1015625,42958.80078125,43200,250.01,41.77,30,-6347.24,VWAP Bounce
2023-01-16 03:45:00,2023-01-17 03:45:00,BUY_PE,42167.55078125,42235.05078125,42200,257.0,156.4,30,-3117.96,VWAP Bounce
2023-01-17 03:45:00,2023-01-18 03:45:00,BUY_CE,42235.05078125,42458.0,42200,196.79,281.09,30,2429.0,VWAP Bounce
2023-01-19 03:45:00,2023-01-24 03:45:00,BUY_CE,42328.8515625,42733.44921875,42300,444.48,429.37,30,-553.44,VWAP Bounce
2023-02-10 03:45:00,2023-02-13 03:45:00,BUY_CE,41559.3984375,41282.19921875,41600,392.07,129.96,30,-7963.27,VWAP Bounce
2023-02-16 03:45:00,2023-02-17 03:45:00,BUY_CE,41631.3515625,41131.75,41600,472.61,232.3,30,-7309.21,VWAP Bounce
2023-03-02 03:45:00,2023-03-03 03:45:00,BUY_CE,40389.80078125,41251.3515625,40400,336.95,886.86,30,16397.33,VWAP Bounce
2023-03-09 03:45:00,2023-03-10 03:45:00,BUY_CE,41256.75,40485.44921875,41300,341.0,91.25,30,-7592.41,VWAP Bounce
2023-03-20 03:45:00,2023-03-21 03:45:00,BUY_CE,39361.94921875,39894.69921875,39400,220.55,502.04,30,8344.64,VWAP Bounce
2023-03-28 03:45:00,2023-03-29 03:45:00,BUY_CE,39567.8984375,39910.1484375,39600,149.53,318.62,30,4972.73,VWAP Bounce
2023-04-10 03:45:00,2023-04-11 03:45:00,BUY_CE,40834.6484375,41366.5,40800,250.02,562.83,30,9284.38,VWAP Bounce
2023-04-20 03:45:00,2023-04-21 03:45:00,BUY_CE,42269.5,42118.0,42300,293.04,193.86,30,-3075.45,VWAP Bounce
2023-04-21 03:45:00,2023-04-24 03:45:00,BUY_PE,42118.0,42635.75,42100,227.81,18.13,30,-6390.42,VWAP Bounce
2023-05-08 03:45:00,2023-05-09 03:45:00,BUY_CE,43284.0,43198.1484375,43300,196.85,100.74,30,-2983.29,VWAP Bounce
2023-05-09 03:45:00,2023-05-10 03:45:00,BUY_PE,43198.1484375,43331.05078125,43200,137.17,46.35,30,-2824.58,VWAP Bounce
