date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2021-09-30,BUY_PE_GAMMA,17600,17618.15,43.27,65.74,513.95,-0.435,0.00295,14.5,0
2021-10-14,BUY_CE_GAMMA,18350,18338.55,62.13,92.5,711.07,0.482,0.0024,17.3,0
2021-10-28,BUY_PE_GAMMA,17850,17857.25,65.47,119.74,1308.55,-0.475,0.00225,18.9,0
2021-11-11,BUY_PE_GAMMA,17850,17873.6,60.78,73.28,264.48,-0.44,0.00214,19.7,0
2021-11-18,BUY_PE_GAMMA,17750,17764.8,62.46,82.33,448.75,-0.458,0.00223,19.2,0
2021-11-25,BUY_CE_GAMMA,17550,17536.25,74.26,114.45,956.53,0.481,0.002,21.7,0
2021-12-02,BUY_CE_GAMMA,17400,17401.65,93.14,149.57,1362.25,0.511,0.00175,25.0,0
2021-12-16,BUY_PE_GAMMA,17250,17248.4,101.79,127.0,581.98,-0.495,0.00155,28.5,0
2022-01-20,BUY_PE_GAMMA,17750,17757.0,63.18,93.02,698.05,-0.474,0.00233,18.4,0
2022-02-03,BUY_PE_GAMMA,17550,17560.2,87.47,139.78,1259.41,-0.475,0.00169,25.6,0
2022-02-10,BUY_CE_GAMMA,17600,17605.85,102.27,111.32,177.96,0.517,0.00163,26.6,0
2022-02-17,BUY_PE_GAMMA,17300,17304.6,123.48,145.52,502.29,-0.487,0.00125,35.2,0
2022-02-24,BUY_PE_GAMMA,16250,16247.95,137.07,233.17,2353.69,-0.495,0.00116,40.5,0
2022-03-03,BUY_PE_GAMMA,16500,16498.05,141.65,230.58,2174.3,-0.495,0.00112,41.3,0
2022-03-10,BUY_PE_GAMMA,16600,16594.9,157.06,199.06,1000.98,-0.497,0.00102,45.0,0
2022-03-17,BUY_CE_GAMMA,17300,17287.05,146.22,165.64,436.4,0.494,0.00105,41.8,0
2022-03-24,BUY_CE_GAMMA,17200,17222.75,165.91,203.01,878.25,0.531,0.00104,42.5,0
2022-03-31,BUY_PE_GAMMA,17450,17464.75,98.54,110.17,242.51,-0.47,0.00148,29.4,0
2022-04-07,BUY_PE_GAMMA,17650,17639.55,97.44,148.2,1220.52,-0.51,0.0017,25.4,0
2022-04-21,BUY_CE_GAMMA,17400,17392.6,85.12,135.36,1207.57,0.495,0.00182,24.0,0
2022-04-28,BUY_CE_GAMMA,17250,17245.05,99.63,114.05,312.16,0.5,0.00158,27.9,0
2022-05-12,BUY_PE_GAMMA,15800,15808.0,84.17,140.52,1360.39,-0.478,0.00178,27.1,0
2022-05-19,BUY_PE_GAMMA,15800,15809.4,101.0,151.74,1220.07,-0.478,0.00148,32.4,0
2022-05-26,BUY_CE_GAMMA,16150,16170.15,126.02,142.36,359.87,0.536,0.00139,33.8,0
2022-06-02,BUY_CE_GAMMA,16650,16628.0,107.2,164.11,1374.21,0.478,0.00137,33.5,0
2022-06-09,BUY_CE_GAMMA,16500,16478.1,93.73,150.27,1365.16,0.474,0.00154,29.9,0
2022-06-16,BUY_PE_GAMMA,15350,15360.6,90.88,174.39,2039.36,-0.475,0.00163,30.4,0
2022-06-23,BUY_CE_GAMMA,15550,15556.65,98.12,121.68,540.68,0.519,0.0017,28.7,0
2022-07-14,BUY_PE_GAMMA,15950,15938.65,66.51,82.36,348.23,-0.52,0.00256,18.7,0
2022-07-21,BUY_CE_GAMMA,16600,16605.25,56.4,88.96,766.08,0.527,0.00304,15.1,0
2022-07-28,BUY_CE_GAMMA,16950,16929.6,55.61,88.71,779.4,0.459,0.00248,18.1,0
2022-08-04,BUY_PE_GAMMA,17400,17382.0,74.15,22.24,-1345.67,-0.534,0.00239,18.3,0
2022-08-11,BUY_PE_GAMMA,17650,17659.0,52.51,60.27,146.1,-0.465,0.00271,15.8,0
2022-08-18,BUY_CE_GAMMA,17950,17956.5,60.63,92.63,752.24,0.529,0.00285,14.8,0
2022-08-25,BUY_PE_GAMMA,17500,17522.45,54.13,85.57,738.11,-0.437,0.00237,18.1,0
2022-09-08,BUY_CE_GAMMA,17800,17798.75,84.29,124.03,945.47,0.506,0.00191,22.4,0
2022-09-29,BUY_PE_GAMMA,16800,16818.1,64.3,100.41,854.94,-0.453,0.00212,21.2,0
2022-10-06,BUY_PE_GAMMA,17350,17331.8,105.77,157.03,1233.03,-0.522,0.00162,27.1,0
2022-10-13,BUY_PE_GAMMA,17000,17014.35,87.81,101.58,295.92,-0.468,0.00165,27.1,0
2022-10-20,BUY_CE_GAMMA,17550,17563.95,104.3,168.4,1554.1,0.531,0.00166,26.1,0
2022-10-27,BUY_PE_GAMMA,17750,17736.95,87.43,26.23,-1578.27,-0.517,0.00193,22.2,0
2022-11-03,BUY_CE_GAMMA,18050,18052.7,64.04,83.3,433.53,0.517,0.0026,16.2,0
2022-11-24,BUY_CE_GAMMA,18500,18484.1,54.03,93.62,941.78,0.468,0.00264,15.6,0
2022-12-01,BUY_PE_GAMMA,18800,18812.5,47.96,58.16,207.26,-0.453,0.00285,14.1,0
2022-12-08,BUY_CE_GAMMA,18600,18609.35,61.81,94.84,777.63,0.538,0.00287,14.2,0
2022-12-15,BUY_PE_GAMMA,18400,18414.9,44.54,74.59,703.53,-0.444,0.00296,13.8,0
2022-12-29,BUY_CE_GAMMA,18200,18191.0,63.81,102.17,911.01,0.488,0.00239,17.5,0
2023-01-05,BUY_PE_GAMMA,18000,17992.15,71.18,90.19,427.1,-0.509,0.00231,18.3,0
2023-01-12,BUY_PE_GAMMA,17850,17858.2,65.78,25.89,-1045.41,-0.473,0.00223,19.1,0
2023-02-16,BUY_PE_GAMMA,18050,18035.85,67.51,76.34,172.65,-0.526,0.00257,16.4,0
2023-02-23,BUY_PE_GAMMA,17500,17511.25,55.31,66.12,222.35,-0.462,0.00254,17.0,0
2023-03-02,BUY_PE_GAMMA,17300,17321.9,47.0,69.93,525.58,-0.431,0.00267,16.2,0
2023-03-09,BUY_PE_GAMMA,17600,17589.6,66.26,111.6,1085.64,-0.517,0.00254,17.0,0
2023-04-06,BUY_CE_GAMMA,17600,17599.15,68.19,80.97,271.31,0.507,0.00237,18.2,0
2023-04-27,BUY_CE_GAMMA,17900,17915.05,53.98,91.26,884.15,0.566,0.00354,11.8,0
2023-05-04,BUY_CE_GAMMA,18250,18255.8,44.33,78.05,795.39,0.537,0.004,10.4,0
2023-05-11,BUY_PE_GAMMA,18300,18297.0,47.96,59.13,231.52,-0.498,0.00331,12.6,0
2023-05-18,BUY_PE_GAMMA,18150,18129.95,57.65,101.11,1038.64,-0.553,0.00324,12.9,0
2023-05-25,BUY_CE_GAMMA,18300,18321.15,63.24,100.87,892.72,0.578,0.00311,13.1,0
2023-06-01,BUY_PE_GAMMA,18500,18487.75,54.15,88.09,800.62,-0.527,0.00321,12.8,0
2023-06-08,BUY_PE_GAMMA,18650,18634.55,48.96,82.42,788.69,-0.544,0.00371,10.9,0
2023-06-15,BUY_PE_GAMMA,18700,18688.1,45.02,75.81,721.97,-0.532,0.00391,10.4,0
2023-06-22,BUY_PE_GAMMA,18800,18779.35,51.79,86.72,825.42,-0.563,0.00369,10.9,0
2023-07-06,BUY_CE_GAMMA,19500,19486.25,43.18,69.13,601.02,0.467,0.0033,11.8,0
2023-07-13,BUY_PE_GAMMA,19450,19443.2,51.72,62.41,219.54,-0.509,0.00318,12.3,0
2023-07-20,BUY_CE_GAMMA,19950,19969.95,62.27,109.51,1132.95,0.576,0.00315,11.9,0
2023-07-27,BUY_PE_GAMMA,19700,19700.2,50.75,76.41,593.68,-0.487,0.00303,12.8,0
