date,time,symbol,type,strike,entry_premium,exit_premium,spot_entry,vwap,pcr,tolerance,has_oi,exit_reason,gross_pnl,costs,net_pnl,version
2025-09-15,10:05,SENSEX,BUY_PE,81800,440.57,475.68,81892.75,81892.75,0.871,0.3,True,EOD,647.15,78.04,569.11,Intraday
2025-09-15,10:40,SENSEX,BUY_PE,81800,444.42,475.87,81884.22,81884.22,0.374,0.3,True,EOD,573.76,78.31,495.45,Intraday
2025-09-16,10:00,SENSEX,BUY_CE,82100,412.96,620.0,81990.55,81990.55,6.143,0.3,True,EOD,4078.91,76.11,4002.8,Intraday
2025-09-16,10:25,SENSEX,BUY_CE,82100,426.78,624.26,82019.08,82019.08,2.418,0.3,True,EOD,3886.69,77.07,3809.62,Intraday
2025-09-17,10:40,SENSEX,BUY_PE,82600,342.71,297.85,82617.87,82617.87,0.541,0.3,True,EOD,-935.58,71.19,-1006.77,Intraday
2025-09-17,10:55,SENSEX,BUY_CE,82700,341.23,385.47,82619.72,82619.72,1.446,0.3,True,EOD,841.21,71.09,770.13,Intraday
2025-09-18,10:10,SENSEX,BUY_PE,83000,236.87,246.35,83032.87,83032.87,0.331,0.3,True,EOD,160.55,63.78,96.77,Intraday
2025-09-18,10:50,SENSEX,BUY_CE,83000,282.56,113.02,83029.16,83029.16,1.541,0.3,True,SL,-3414.46,66.98,-3481.44,Intraday
2025-09-19,09:55,SENSEX,BUY_PE,82600,185.81,203.16,82747.64,82747.64,0.284,0.3,True,EOD,323.63,60.21,263.43,Intraday
2025-09-19,10:20,SENSEX,BUY_PE,82700,242.37,249.58,82719.34,82719.34,0.747,0.3,True,EOD,114.7,64.17,50.53,Intraday
2025-09-22,11:05,SENSEX,BUY_PE,82500,507.64,640.57,82459.07,82459.07,0.229,0.3,True,EOD,2589.63,82.74,2506.9,Intraday
2025-09-22,11:15,SENSEX,BUY_PE,82400,459.98,584.16,82457.92,82457.92,0.258,0.3,True,EOD,2420.85,79.4,2341.45,Intraday
2025-09-23,10:20,SENSEX,BUY_PE,81900,349.94,311.32,82060.54,82060.54,0.777,0.3,True,EOD,-812.27,71.7,-883.96,Intraday
2025-09-23,10:55,SENSEX,BUY_PE,81900,362.51,310.23,82031.31,82031.31,0.223,0.3,True,EOD,-1085.89,72.58,-1158.47,Intraday
2025-09-24,10:10,SENSEX,BUY_CE,81800,385.96,345.58,81817.21,81817.21,1.799,0.3,True,EOD,-851.55,74.22,-925.77,Intraday
2025-09-24,10:15,SENSEX,BUY_CE,81900,338.02,299.24,81820.67,81820.67,1.852,0.3,True,EOD,-813.65,70.86,-884.51,Intraday
2025-09-25,10:35,SENSEX,BUY_PE,81600,213.2,426.39,81675.48,81675.48,0.328,0.3,True,TARGET,4225.55,62.12,4163.42,Intraday
2025-09-25,11:00,SENSEX,BUY_PE,81500,178.67,357.34,81657.46,81657.46,0.274,0.3,True,TARGET,3541.26,59.71,3481.55,Intraday
2025-09-26,09:55,SENSEX,BUY_CE,80900,238.19,95.28,80854.77,80854.77,2.337,0.3,True,SL,-2878.3,63.87,-2942.17,Intraday
2025-09-26,11:05,SENSEX,BUY_PE,80800,227.39,454.79,80838.85,80838.85,0.605,0.3,True,TARGET,4506.93,63.12,4443.81,Intraday
2025-09-29,10:15,SENSEX,BUY_CE,80800,457.86,410.55,80644.16,80644.16,2.755,0.3,True,EOD,-998.38,79.25,-1077.63,Intraday
2025-09-29,10:25,SENSEX,BUY_CE,80800,465.11,410.03,80659.42,80659.42,1.083,0.3,True,EOD,-1154.05,79.76,-1233.81,Intraday
2025-09-30,10:05,SENSEX,BUY_PE,80400,370.33,435.46,80496.1,80496.1,0.625,0.309,True,EOD,1254.26,73.12,1181.13,Intraday
2025-09-30,10:25,SENSEX,BUY_PE,80300,339.51,388.24,80465.91,80465.91,0.462,0.309,True,EOD,930.98,70.97,860.02,Intraday
2025-10-01,10:00,SENSEX,BUY_PE,80400,349.5,139.8,80384.53,80384.53,0.797,0.312,True,SL,-4223.38,71.67,-4295.04,Intraday
2025-10-01,10:05,SENSEX,BUY_CE,80400,362.76,692.95,80384.73,80384.73,1.174,0.312,True,EOD,6540.44,72.59,6467.85,Intraday
2025-10-03,10:40,SENSEX,BUY_PE,80800,213.18,85.27,80870.06,80870.06,0.474,0.331,True,SL,-2576.11,62.12,-2638.23,Intraday
2025-10-03,11:05,SENSEX,BUY_CE,80900,246.12,406.58,80871.03,80871.03,1.524,0.331,True,EOD,3170.1,64.43,3105.67,Intraday
2025-10-06,10:30,SENSEX,BUY_CE,81500,467.22,671.94,81354.18,81354.18,2.577,0.34,True,EOD,4025.9,79.91,3946.0,Intraday
