date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2024-04-10,BUY_PE_GTZ,160,157.7,7.15,9.29,3346354.54,-0.542,80.0,5
2024-05-08,BUY_PE_GTZ,180,182.5,6.81,12.26,8509628.41,-0.428,80.0,7
2024-05-15,BUY_PE_GTZ,200,198.9,8.0,10.4,3747890.69,-0.504,80.0,5
2024-05-23,BUY_PE_GTZ,225,223.5,9.14,16.45,11416822.49,-0.509,80.0,5
2024-06-12,BUY_PE_GTZ,255,252.8,10.61,13.8,4969441.46,-0.518,80.0,5
2024-07-10,BUY_CE_GTZ,195,194.9,6.47,8.41,3029215.52,0.514,71.7,5
2024-07-12,BUY_CE_GTZ,195,196.0,7.59,13.67,9487216.53,0.54,77.7,5
2024-07-29,BUY_CE_GTZ,175,172.9,9.82,12.77,4598326.68,0.499,80.0,14
2024-07-30,BUY_CE_GTZ,180,178.8,10.18,18.33,12723201.79,0.511,80.0,13
2024-08-01,BUY_CE_GTZ,170,168.8,9.96,9.47,-782961.36,0.512,80.0,14
2024-08-06,BUY_CE_GTZ,170,170.4,8.71,15.68,10885535.4,0.532,80.0,9
2024-08-08,BUY_PE_GTZ,180,179.6,8.13,10.57,3809169.52,-0.485,80.0,7
2024-08-09,BUY_PE_GTZ,180,180.5,7.12,9.25,3333090.54,-0.468,80.0,6
2024-08-12,BUY_PE_GTZ,185,183.7,7.55,9.81,3533953.19,-0.511,80.0,5
2024-08-14,BUY_PE_GTZ,185,187.0,5.99,7.78,2803043.39,-0.435,80.0,5
2024-09-04,BUY_PE_GTZ,180,180.6,9.67,17.4,12077361.66,-0.462,80.0,11
2024-09-11,BUY_PE_GTZ,190,191.8,6.26,8.14,2930934.38,-0.441,80.0,5
2024-09-16,BUY_PE_GTZ,200,199.4,7.75,10.08,3631044.5,-0.494,80.0,5
2024-10-01,BUY_PE_GTZ,245,243.5,15.97,20.77,7480135.41,-0.483,80.0,14
2024-11-13,BUY_PE_GTZ,250,250.6,9.04,11.75,4233979.75,-0.471,80.0,5
2024-11-26,BUY_PE_GTZ,290,291.0,10.35,13.45,4844727.81,-0.466,80.0,5
2024-12-30,BUY_PE_GTZ,335,334.5,20.35,36.63,25424808.28,-0.473,80.0,13
2025-01-13,BUY_PE_GTZ,335,336.7,11.7,21.06,14618013.27,-0.459,80.0,5
2025-01-17,BUY_PE_GTZ,345,344.7,13.02,23.43,16263840.46,-0.485,80.0,5
2025-03-04,BUY_PE_GTZ,385,387.3,20.21,26.27,9463067.12,-0.454,80.0,11
2025-03-10,BUY_PE_GTZ,395,394.2,15.12,19.66,7082725.35,-0.49,80.0,5
2025-04-07,BUY_CE_GTZ,325,322.6,14.1,18.33,6603076.89,0.498,80.0,8
2025-05-08,BUY_PE_GTZ,305,306.8,12.62,16.4,5908246.93,-0.456,80.0,7
2025-06-05,BUY_PE_GTZ,320,319.7,17.0,22.11,7963061.63,-0.476,80.0,10
2025-06-11,BUY_CE_GTZ,300,299.9,11.14,14.48,5216979.77,0.517,80.0,5
2025-06-12,BUY_CE_GTZ,300,299.1,10.73,10.19,-843311.3,0.505,80.0,5
2025-06-30,BUY_CE_GTZ,295,295.1,17.76,16.88,-1395860.26,0.53,80.0,13
2025-07-07,BUY_CE_GTZ,295,295.8,14.33,25.8,17909211.33,0.532,80.0,8
2025-07-15,BUY_PE_GTZ,305,303.3,12.22,11.61,-959992.26,-0.505,80.0,5
2025-07-17,BUY_PE_GTZ,305,306.1,10.86,14.12,5084785.8,-0.466,80.0,5
2025-07-31,BUY_CE_GTZ,270,271.8,16.54,29.78,20672362.94,0.546,80.0,12
2025-08-05,BUY_CE_GTZ,265,266.0,14.5,18.84,6787952.51,0.537,80.0,10
2025-08-14,BUY_CE_GTZ,250,248.3,8.47,11.01,3966666.25,0.489,80.0,5
2025-09-04,BUY_PE_GTZ,270,272.4,13.82,17.96,6470472.75,-0.446,80.0,11
2025-09-05,BUY_PE_GTZ,270,268.9,14.75,19.18,6909306.77,-0.485,80.0,10
2025-09-08,BUY_PE_GTZ,275,273.9,12.67,16.47,5931432.37,-0.492,80.0,7
2025-09-18,BUY_CE_GTZ,260,259.0,9.19,8.73,-722169.94,0.502,80.0,5
2025-10-06,BUY_PE_GTZ,300,300.0,15.0,27.0,18744162.46,-0.474,80.0,9
2025-10-07,BUY_PE_GTZ,305,307.3,13.32,12.65,-1046478.82,-0.451,80.0,8
2025-10-08,BUY_PE_GTZ,295,296.3,12.41,22.33,15500907.66,-0.462,80.0,7
2025-11-07,BUY_PE_GTZ,385,385.8,17.78,23.11,8324784.89,-0.469,80.0,8
2025-11-10,BUY_PE_GTZ,380,382.1,13.19,23.74,16483304.6,-0.458,80.0,5
2025-11-12,BUY_PE_GTZ,400,398.1,15.86,20.61,7425195.26,-0.501,80.0,5
2025-11-25,BUY_PE_GTZ,400,399.9,14.97,26.95,18706975.81,-0.482,80.0,5
2025-12-04,BUY_PE_GTZ,445,447.4,23.47,30.52,10992931.47,-0.456,80.0,11
2026-01-08,BUY_CE_GTZ,305,306.7,14.36,13.64,-1128438.5,0.541,80.0,7
2026-01-16,BUY_CE_GTZ,280,280.4,10.65,13.85,4989435.42,0.524,80.0,5
