date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2021-03-24,SELL_CE,14675.082142857142,14549.4,63.57,95.35,-548.32,0.34,0.00129,-26.89,26.4,2
2021-03-24,SELL_CE,14675.082142857142,14549.4,63.57,95.35,-548.32,0.34,0.00129,-26.89,26.4,2
2021-03-25,SELL_CE,14423.731428571427,14324.9,38.43,57.65,-343.63,0.312,0.00183,-34.9,25.7,1
2021-03-25,SELL_CE,14423.731428571427,14324.9,38.43,57.65,-343.63,0.312,0.00183,-34.9,25.7,1
2021-03-30,SELL_PE,14671.272500000001,14845.1,52.58,78.87,-705.95,-0.274,0.00108,-17.89,23.0,3
2021-03-30,SELL_PE,14671.272500000001,14845.1,52.58,78.87,-705.95,-0.274,0.00108,-17.89,23.0,3
2021-04-01,SELL_PE,14767.747142857143,14867.35,30.45,45.67,-278.63,-0.278,0.00191,-30.28,22.6,1
2021-04-05,SELL_CE,14841.185714285713,14637.8,57.12,85.67,-762.76,0.283,0.00103,-14.6,21.4,4
2021-04-07,SELL_PE,14695.137499999999,14819.05,42.01,63.02,-372.81,-0.286,0.00146,-20.6,21.3,2
2021-04-08,SELL_PE,14772.698571428571,14873.8,26.67,0.05,617.53,-0.263,0.00197,-27.79,21.3,1
2021-04-08,SELL_PE,14772.698571428571,14873.8,26.67,0.05,617.53,-0.263,0.00197,-27.79,21.3,1
2021-04-12,SELL_CE,14510.8,14310.8,74.98,112.47,-986.53,0.313,0.00094,-17.47,25.1,4
2021-04-12,SELL_CE,14510.8,14310.8,74.98,112.47,-986.53,0.313,0.00094,-17.47,25.1,4
2021-04-15,SELL_PE,14489.138571428572,14581.45,40.07,60.11,-357.0,-0.313,0.00179,-35.8,25.9,1
2021-04-19,SELL_CE,14559.45,14359.45,82.25,45.57,867.43,0.323,0.0009,-18.62,26.4,4
2021-04-20,SELL_PE,14141.164999999999,14296.4,68.26,35.85,761.03,-0.31,0.00104,-20.7,26.1,3
2021-04-22,SELL_CE,14499.455714285714,14406.15,40.56,0.05,964.46,0.323,0.00185,-35.64,25.7,1
