date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,iv,dte
2021-12-16,BUY_PE_GAMMA,57900,57901.14,339.63,408.14,636.2,-0.492,0.00046,28.6,0
2022-01-06,BUY_PE_GAMMA,59600,59601.84,275.55,82.67,-1977.44,-0.491,0.00056,22.6,0
2022-02-03,BUY_PE_GAMMA,58800,58788.02,316.13,513.07,1920.64,-0.498,0.0005,25.7,0
2022-02-17,BUY_PE_GAMMA,57900,57892.01,425.88,506.83,760.14,-0.495,0.00037,35.3,0
2022-02-24,BUY_PE_GAMMA,54500,54529.91,441.77,729.62,2829.06,-0.482,0.00034,40.5,0
2022-03-03,BUY_PE_GAMMA,55100,55102.68,465.65,758.58,2879.74,-0.492,0.00034,41.0,0
2022-03-10,BUY_PE_GAMMA,55500,55464.39,542.11,744.23,1971.33,-0.503,0.0003,45.7,0
2022-03-17,BUY_CE_GAMMA,57900,57863.93,505.39,561.7,513.4,0.497,0.00031,42.9,0
2022-03-24,BUY_CE_GAMMA,57600,57595.68,527.59,634.36,1017.87,0.506,0.0003,43.6,0
2022-03-31,BUY_PE_GAMMA,58600,58568.51,395.82,592.82,1920.86,-0.505,0.00041,31.5,0
2022-04-07,BUY_PE_GAMMA,59000,59034.95,308.02,463.97,1510.76,-0.475,0.00048,26.8,0
2022-04-21,BUY_CE_GAMMA,57900,57911.68,320.9,510.34,1845.62,0.514,0.00051,25.6,0
2022-04-28,BUY_CE_GAMMA,57500,57521.06,362.4,426.3,589.99,0.517,0.00046,28.9,0
2022-05-12,BUY_PE_GAMMA,52900,52930.31,279.38,462.13,1778.91,-0.476,0.00053,27.0,0
2022-05-19,BUY_PE_GAMMA,52800,52792.23,347.87,399.91,471.5,-0.496,0.00046,31.6,0
2022-05-26,BUY_CE_GAMMA,54300,54252.53,359.16,540.73,1766.73,0.488,0.00042,33.3,0
2022-06-02,BUY_CE_GAMMA,55800,55818.11,400.12,627.07,2220.3,0.515,0.00041,33.1,0
2022-06-09,BUY_CE_GAMMA,55300,55320.28,359.59,605.84,2413.47,0.517,0.00046,29.8,0
2022-06-16,BUY_PE_GAMMA,51500,51495.79,329.63,633.78,2992.63,-0.494,0.00048,30.9,0
2022-06-23,BUY_CE_GAMMA,52300,52265.72,303.77,364.58,559.38,0.49,0.0005,29.0,0
2022-06-30,BUY_CE_GAMMA,53000,53018.94,304.46,91.34,-2179.93,0.518,0.00055,26.2,0
2022-07-14,BUY_PE_GAMMA,53400,53416.15,189.57,235.56,411.74,-0.478,0.00079,18.1,0
2022-07-21,BUY_CE_GAMMA,55700,55681.95,173.16,265.97,880.01,0.494,0.0009,15.2,0
2022-07-28,BUY_CE_GAMMA,56900,56857.79,206.91,339.56,1278.27,0.479,0.00071,18.7,0
2022-08-04,BUY_PE_GAMMA,58300,58298.8,222.84,66.85,-1608.2,-0.492,0.0007,18.7,0
2022-08-18,BUY_CE_GAMMA,60300,60298.0,196.66,298.85,973.74,0.509,0.00083,15.3,0
2022-08-25,BUY_PE_GAMMA,58800,58774.72,231.84,388.14,1514.61,-0.509,0.00071,18.3,0
2022-09-08,BUY_CE_GAMMA,59700,59688.22,289.69,435.5,1409.45,0.502,0.00055,23.3,0
2022-09-29,BUY_PE_GAMMA,56400,56409.96,233.07,372.84,1349.38,-0.485,0.00065,20.6,0
2022-10-13,BUY_PE_GAMMA,57200,57235.33,294.81,347.38,476.95,-0.474,0.0005,26.5,0
2022-10-20,BUY_CE_GAMMA,59200,59202.9,329.39,514.01,1797.38,0.509,0.00049,26.1,0
2022-11-03,BUY_CE_GAMMA,60800,60836.41,231.91,310.27,735.24,0.538,0.00076,16.3,0
2022-11-10,BUY_CE_GAMMA,60600,60613.7,191.29,57.39,-1387.16,0.523,0.00089,14.1,0
2022-11-24,BUY_CE_GAMMA,62300,62272.68,201.8,358.64,1520.24,0.489,0.00076,16.1,0
2022-12-15,BUY_PE_GAMMA,61800,61799.03,178.05,313.35,1305.0,-0.49,0.00087,14.2,0
2022-12-29,BUY_CE_GAMMA,61100,61133.88,242.34,395.91,1487.31,0.534,0.00072,17.2,0
2023-01-05,BUY_PE_GAMMA,60400,60353.27,246.86,337.05,853.48,-0.523,0.0007,18.1,0
2023-01-12,BUY_PE_GAMMA,60000,59958.03,253.16,75.95,-1820.57,-0.519,0.00067,18.9,0
2023-02-16,BUY_PE_GAMMA,61300,61319.51,195.3,227.93,278.15,-0.475,0.00076,16.4,0
2023-02-23,BUY_PE_GAMMA,59600,59605.8,204.59,236.97,275.53,-0.486,0.00075,17.1,0
2023-03-02,BUY_PE_GAMMA,58900,58909.35,191.81,298.14,1015.19,-0.483,0.00079,16.4,0
2023-03-09,BUY_PE_GAMMA,59800,59806.28,202.74,335.55,1279.88,-0.485,0.00075,16.9,0
2023-03-23,BUY_PE_GAMMA,57900,57925.28,200.44,220.44,151.83,-0.472,0.00073,18.0,0
2023-04-06,BUY_CE_GAMMA,59800,59832.97,256.86,299.71,379.97,0.532,0.00068,18.8,0
2023-04-27,BUY_CE_GAMMA,60600,60649.38,192.24,320.39,1233.27,0.561,0.00098,12.7,0
2023-05-04,BUY_CE_GAMMA,61700,61749.25,170.17,300.59,1256.12,0.57,0.00114,10.7,0
2023-05-11,BUY_PE_GAMMA,61900,61904.52,162.93,255.51,877.82,-0.484,0.00093,13.2,0
2023-05-18,BUY_PE_GAMMA,61400,61431.74,148.99,239.85,860.64,-0.459,0.00093,13.2,0
2023-05-25,BUY_CE_GAMMA,61900,61872.62,164.2,246.08,770.78,0.486,0.00092,13.3,0
2023-06-01,BUY_PE_GAMMA,62400,62428.54,155.79,239.71,791.28,-0.463,0.00091,13.4,0
2023-06-08,BUY_PE_GAMMA,62800,62848.64,115.4,176.38,562.01,-0.433,0.00109,10.9,0
2023-06-15,BUY_PE_GAMMA,62900,62917.63,122.67,189.4,619.43,-0.465,0.00116,10.4,0
2023-06-22,BUY_PE_GAMMA,63300,63278.81,149.67,248.54,940.76,-0.51,0.0011,10.9,0
2023-07-06,BUY_CE_GAMMA,65800,65750.27,148.63,235.6,821.77,0.465,0.00095,12.2,0
2023-07-20,BUY_CE_GAMMA,67500,67548.29,202.53,347.56,1402.07,0.557,0.00092,12.1,0
2023-07-27,BUY_PE_GAMMA,66400,66409.4,183.09,257.16,692.63,-0.481,0.00082,14.0,0
2023-08-03,BUY_PE_GAMMA,65300,65274.51,206.46,257.11,458.29,-0.51,0.0008,14.6,0
2023-08-10,BUY_PE_GAMMA,65700,65707.42,187.81,229.38,367.53,-0.483,0.00081,14.4,0
2023-08-17,BUY_PE_GAMMA,65100,65107.48,168.54,263.95,906.06,-0.482,0.00089,13.1,0
2023-08-24,BUY_PE_GAMMA,65200,65235.75,131.56,208.46,721.14,-0.45,0.00102,11.3,0
2023-08-31,BUY_PE_GAMMA,64800,64831.41,120.31,190.71,656.21,-0.45,0.00112,10.4,0
2023-09-07,BUY_CE_GAMMA,66300,66265.56,132.9,211.59,739.02,0.476,0.0011,10.4,0
2023-09-14,BUY_PE_GAMMA,67500,67519.0,131.61,48.93,-874.64,-0.465,0.00108,10.4,0
2023-09-21,BUY_PE_GAMMA,66200,66230.24,156.73,250.52,889.92,-0.461,0.00089,12.8,0
2023-09-28,BUY_PE_GAMMA,65500,65508.32,172.44,315.31,1380.67,-0.481,0.00087,13.3,0
2023-10-12,BUY_PE_GAMMA,66400,66408.39,184.09,214.75,258.46,-0.482,0.00082,14.0,0
2023-10-19,BUY_CE_GAMMA,65600,65629.24,199.11,74.79,-1291.41,0.538,0.00089,13.0,0
2023-11-09,BUY_PE_GAMMA,64800,64832.2,192.96,287.21,894.25,-0.466,0.00074,15.8,0
2023-11-16,BUY_CE_GAMMA,66000,65982.48,233.15,326.33,883.43,0.498,0.00067,17.1,0
2023-11-23,BUY_PE_GAMMA,66000,66017.81,148.06,161.65,87.93,-0.47,0.00098,11.8,0
2023-12-07,BUY_PE_GAMMA,69500,69521.69,189.68,228.79,342.92,-0.472,0.00077,14.2,0
2023-12-14,BUY_CE_GAMMA,70500,70514.2,224.84,379.78,1501.06,0.522,0.00075,14.3,0
2023-12-28,BUY_CE_GAMMA,72400,72410.38,270.46,301.92,266.06,0.516,0.00061,17.1,0
2024-01-04,BUY_CE_GAMMA,71800,71847.57,270.27,304.97,298.51,0.542,0.00066,15.9,0
2024-01-11,BUY_PE_GAMMA,71700,71721.18,229.73,266.34,317.75,-0.476,0.00064,16.5,0
2024-02-01,BUY_PE_GAMMA,71600,71645.3,321.21,477.34,1512.52,-0.471,0.00045,23.4,0
2024-02-08,BUY_PE_GAMMA,71400,71428.43,332.82,563.28,2255.74,-0.479,0.00045,23.7,0
2024-02-22,BUY_CE_GAMMA,73200,73158.24,245.59,383.82,1333.84,0.484,0.00061,17.0,0
2024-02-29,BUY_CE_GAMMA,72500,72500.3,216.24,260.66,395.99,0.511,0.00076,13.8,0
2024-03-07,BUY_PE_GAMMA,74100,74119.39,209.17,80.31,-1336.81,-0.475,0.00071,14.5,0
2024-03-21,BUY_CE_GAMMA,72600,72641.19,281.59,100.47,-1859.87,0.536,0.00062,16.7,0
2024-03-28,BUY_CE_GAMMA,73700,73651.35,238.59,324.73,813.0,0.48,0.00062,16.6,0
