entry_date,exit_date,trade_type,entry_spot,exit_spot,strike,entry_premium,exit_premium,quantity,pnl,strategy
2021-12-01 03:45:00,2021-12-02 03:45:00,BUY_CE,17166.900390625,17401.650390625,17150,75.33,243.65,75,12433.8,VWAP Bounce
2021-12-03 03:45:00,2021-12-06 03:45:00,BUY_CE,17196.69921875,16912.25,17200,180.61,35.26,75,-11090.91,VWAP Bounce
2021-12-07 03:45:00,2021-12-08 03:45:00,BUY_PE,17176.69921875,17469.75,17200,116.5,10.19,75,-8163.58,VWAP Bounce
2021-12-13 03:45:00,2021-12-16 03:45:00,BUY_PE,17368.25,17248.400390625,17350,124.29,112.79,75,-1052.8,VWAP Bounce
2021-12-22 03:45:00,2021-12-23 03:45:00,BUY_CE,16955.44921875,17072.599609375,16950,88.16,133.41,75,3204.11,VWAP Bounce
2022-02-04 03:45:00,2022-02-07 03:45:00,BUY_PE,17516.30078125,17213.599609375,17500,156.29,294.94,75,10208.7,VWAP Bounce
2022-03-02 03:45:00,2022-03-03 03:45:00,BUY_PE,16605.94921875,16498.05078125,16600,107.61,129.17,75,1427.23,VWAP Bounce
2022-03-23 03:45:00,2022-03-24 03:45:00,BUY_CE,17245.650390625,17222.75,17250,117.48,72.06,75,-3596.44,VWAP Bounce
2022-03-28 03:45:00,2022-03-30 03:45:00,BUY_CE,17222.0,17498.25,17200,171.46,294.88,75,9066.87,VWAP Bounce
2022-04-26 03:45:00,2022-04-27 03:45:00,BUY_CE,17200.80078125,17038.400390625,17200,108.73,22.72,75,-6640.41,VWAP Bounce
2022-04-29 03:45:00,2022-05-02 03:45:00,BUY_PE,17102.55078125,17069.099609375,17100,175.6,130.49,75,-3573.14,VWAP Bounce
2022-05-24 03:45:00,2022-05-26 03:45:00,BUY_PE,16125.150390625,16170.150390625,16150,136.79,52.76,75,-6491.95,VWAP Bounce
2022-06-03 03:45:00,2022-06-06 03:45:00,BUY_PE,16584.30078125,16569.55078125,16600,209.87,145.59,75,-5011.27,VWAP Bounce
2022-06-06 03:45:00,2022-06-08 03:45:00,BUY_PE,16569.55078125,16356.25,16550,134.01,201.59,75,4878.46,VWAP Bounce
2022-06-22 03:45:00,2022-06-23 03:45:00,BUY_PE,15413.2998046875,15556.650390625,15400,63.3,7.33,75,-4387.45,VWAP Bounce
2022-07-01 03:45:00,2022-07-04 03:45:00,BUY_PE,15752.0498046875,15835.349609375,15750,153.89,78.45,75,-5848.01,VWAP Bounce
2022-07-05 03:45:00,2022-07-06 03:45:00,BUY_CE,15810.849609375,15989.7998046875,15800,103.12,194.53,75,6665.54,VWAP Bounce
2022-07-12 03:45:00,2022-07-14 03:45:00,BUY_PE,16058.2998046875,15938.650390625,16050,73.82,108.62,75,2420.01,VWAP Bounce
2022-07-15 03:45:00,2022-07-18 03:45:00,BUY_PE,16049.2001953125,16278.5,16050,108.87,17.62,75,-7033.92,VWAP Bounce
2022-07-27 03:45:00,2022-07-28 03:45:00,BUY_CE,16641.80078125,16929.599609375,16650,41.62,269.84,75,16926.87,VWAP Bounce
2022-08-26 03:45:00,2022-08-29 03:45:00,BUY_PE,17558.900390625,17312.900390625,17550,109.03,232.23,75,9050.32,VWAP Bounce
2022-09-02 03:45:00,2022-09-07 03:45:00,BUY_CE,17539.44921875,17624.400390625,17550,154.85,101.84,75,-4165.81,VWAP Bounce
2022-09-07 03:45:00,2022-09-08 03:45:00,BUY_CE,17624.400390625,17798.75,17600,77.4,193.55,75,8520.97,VWAP Bounce
2022-09-20 03:45:00,2022-09-21 03:45:00,BUY_CE,17816.25,17718.349609375,17800,106.98,36.93,75,-5443.83,VWAP Bounce
2022-09-21 03:45:00,2022-09-22 03:45:00,BUY_PE,17718.349609375,17629.80078125,17700,57.13,84.24,75,1843.24,VWAP Bounce
2022-10-10 03:45:00,2022-10-11 03:45:00,BUY_CE,17241.0,16983.55078125,17250,126.66,24.5,75,-7852.16,VWAP Bounce
2022-11-04 03:45:00,2022-11-09 03:45:00,BUY_CE,18117.150390625,18157.0,18100,134.52,77.41,75,-4473.52,VWAP Bounce
2022-11-09 03:45:00,2022-11-10 03:45:00,BUY_CE,18157.0,18028.19921875,18150,51.82,1.6,75,-3956.23,VWAP Bounce
2022-11-18 03:45:00,2022-11-21 03:45:00,BUY_PE,18307.650390625,18159.94921875,18300,90.64,150.53,75,4301.85,VWAP Bounce
2022-11-22 03:45:00,2022-11-23 03:45:00,BUY_PE,18244.19921875,18267.25,18250,63.74,35.13,75,-2335.49,VWAP Bounce
2022-12-02 03:45:00,2022-12-05 03:45:00,BUY_PE,18696.099609375,18701.05078125,18700,100.11,71.71,75,-2320.23,VWAP Bounce
