date,type,strike,spot,entry_premium,exit_premium,pnl,delta,gamma,theta,iv,dte
2022-05-30,SELL_PE,55262.45314285714,55925.74,333.63,211.14,1174.0,-0.321,0.00023,-73.62,26.8,4
2022-05-30,SELL_PE,55262.45314285714,55925.74,333.63,211.14,1174.0,-0.321,0.00023,-73.62,26.8,4
2022-05-30,SELL_PE,55262.45314285714,55925.74,333.63,211.14,1174.0,-0.321,0.00023,-73.62,26.8,4
2022-06-01,SELL_CE,55776.54178571428,55381.17,253.55,380.32,-856.56,0.362,0.00036,-100.61,25.3,2
2022-06-06,SELL_CE,56268.67428571428,55675.32,335.36,213.21,1170.57,0.354,0.00026,-69.52,24.4,4
2022-06-07,SELL_CE,55592.18199999999,55107.34,301.57,175.99,1205.14,0.361,0.0003,-80.85,24.8,3
2022-06-08,SELL_CE,55233.4575,54892.49,262.04,393.05,-884.22,0.379,0.00038,-99.29,24.8,2
2022-06-09,SELL_CE,55594.600857142854,55320.28,154.03,0.25,1488.86,0.348,0.00056,-126.11,22.9,1
2022-06-13,SELL_CE,53378.27485714285,52846.7,384.32,254.01,1251.58,0.377,0.00025,-74.41,27.0,4
2022-06-13,SELL_CE,53378.27485714285,52846.7,384.32,254.01,1251.58,0.377,0.00025,-74.41,27.0,4
2022-06-13,SELL_CE,53378.27485714285,52846.7,384.32,254.01,1251.58,0.377,0.00025,-74.41,27.0,4
2022-06-16,SELL_PE,51246.14028571429,51495.79,146.08,0.35,1408.42,-0.34,0.00057,-120.53,23.8,1
2022-06-16,SELL_PE,51246.14028571429,51495.79,146.08,0.35,1408.42,-0.34,0.00057,-120.53,23.8,1
2022-06-16,SELL_CE,51745.43971428571,51495.79,153.62,230.42,-531.05,0.356,0.00058,-122.6,23.8,1
2022-06-16,SELL_CE,51745.43971428571,51495.79,153.62,230.42,-531.05,0.356,0.00058,-122.6,23.8,1
2022-06-16,SELL_CE,51745.43971428571,51495.79,153.62,230.42,-531.05,0.356,0.00058,-122.6,23.8,1
2022-06-21,SELL_PE,52023.173500000004,52532.07,198.74,298.1,-1043.12,-0.299,0.00033,-62.96,21.8,3
2022-06-21,SELL_PE,52023.173500000004,52532.07,198.74,298.1,-1043.12,-0.299,0.00033,-62.96,21.8,3
2022-06-21,SELL_PE,52023.173500000004,52532.07,198.74,298.1,-1043.12,-0.299,0.00033,-62.96,21.8,3
2022-06-23,SELL_PE,51973.018000000004,52265.72,120.75,181.12,-423.99,-0.308,0.00058,-110.0,22.3,1
2022-06-23,SELL_PE,51973.018000000004,52265.72,120.75,181.12,-423.99,-0.308,0.00058,-110.0,22.3,1
2022-06-27,SELL_PE,52570.34857142857,53161.28,208.48,123.72,797.98,-0.287,0.0003,-51.67,20.6,4
2022-06-27,SELL_PE,52570.34857142857,53161.28,208.48,123.72,797.98,-0.287,0.0003,-51.67,20.6,4
2022-06-28,SELL_CE,53688.682499999995,53177.45,202.24,106.83,904.66,0.318,0.00036,-61.95,20.6,3
2022-06-29,SELL_CE,53384.6075,53026.97,181.91,75.23,1017.57,0.341,0.00045,-77.28,20.6,2
2022-06-30,SELL_PE,52739.32342857143,53018.94,107.28,0.05,1023.85,-0.3,0.00062,-100.16,20.2,1
2022-07-05,SELL_PE,52635.5625,53134.35,178.17,94.25,790.0,-0.29,0.00035,-58.19,20.2,3
2022-07-05,SELL_PE,52635.5625,53134.35,178.17,94.25,790.0,-0.29,0.00035,-58.19,20.2,3
2022-07-07,SELL_PE,53910.688,54178.46,122.41,0.1,1174.56,-0.317,0.0006,-108.57,20.9,1
2022-07-07,SELL_PE,53910.688,54178.46,122.41,0.1,1174.56,-0.317,0.0006,-108.57,20.9,1
2022-07-07,SELL_PE,53910.688,54178.46,122.41,0.1,1174.56,-0.317,0.0006,-108.57,20.9,1
2022-07-12,SELL_CE,54292.178,53886.61,164.95,87.45,725.93,0.321,0.00045,-50.54,16.3,3
2022-07-13,SELL_CE,53799.5075,53514.15,150.14,225.21,-519.74,0.345,0.00056,-63.6,16.5,2
2022-07-13,SELL_CE,53799.5075,53514.15,150.14,225.21,-519.74,0.345,0.00056,-63.6,16.5,2
2022-07-13,SELL_CE,53799.5075,53514.15,150.14,225.21,-519.74,0.345,0.00056,-63.6,16.5,2
2022-07-14,SELL_CE,53640.77942857143,53416.15,71.35,107.02,-263.08,0.292,0.00088,-69.73,13.9,1
2022-07-14,SELL_CE,53640.77942857143,53416.15,71.35,107.02,-263.08,0.292,0.00088,-69.73,13.9,1
2022-07-14,SELL_CE,53640.77942857143,53416.15,71.35,107.02,-263.08,0.292,0.00088,-69.73,13.9,1
2022-07-18,SELL_PE,54054.98085714286,54521.15,140.11,210.17,-749.35,-0.27,0.00039,-37.39,14.7,4
2022-07-18,SELL_PE,54054.98085714286,54521.15,140.11,210.17,-749.35,-0.27,0.00039,-37.39,14.7,4
2022-07-18,SELL_PE,54054.98085714286,54521.15,140.11,210.17,-749.35,-0.27,0.00039,-37.39,14.7,4
2022-07-19,SELL_PE,54360.131,54767.62,98.74,148.11,-542.01,-0.25,0.00048,-37.27,13.2,3
2022-07-20,SELL_PE,55108.161428571424,55397.53,77.54,26.41,463.19,-0.261,0.00067,-42.27,11.9,2
2022-07-20,SELL_PE,55108.161428571424,55397.53,77.54,26.41,463.19,-0.261,0.00067,-42.27,11.9,2
2022-07-20,SELL_PE,55108.161428571424,55397.53,77.54,26.41,463.19,-0.261,0.00067,-42.27,11.9,2
2022-07-21,SELL_PE,55455.09114285714,55681.95,49.17,73.76,-190.85,-0.243,0.00092,-55.85,11.7,1
2022-07-26,SELL_CE,55618.0805,55268.49,126.53,189.79,-681.25,0.311,0.00055,-40.57,12.7,3
2022-07-26,SELL_CE,55618.0805,55268.49,126.53,189.79,-681.25,0.311,0.00055,-40.57,12.7,3
2022-07-28,SELL_PE,56648.81,56857.79,83.19,124.78,-301.64,-0.303,0.00081,-78.03,14.4,1
2022-07-28,SELL_PE,56648.81,56857.79,83.19,124.78,-301.64,-0.303,0.00081,-78.03,14.4,1
2022-07-28,SELL_PE,56648.81,56857.79,83.19,124.78,-301.64,-0.303,0.00081,-78.03,14.4,1
2022-08-01,SELL_PE,57674.312,58115.5,166.79,250.19,-883.03,-0.292,0.00038,-41.7,14.8,4
2022-08-01,SELL_PE,57674.312,58115.5,166.79,250.19,-883.03,-0.292,0.00038,-41.7,14.8,4
2022-08-04,SELL_PE,58078.895142857145,58298.8,83.09,124.63,-301.33,-0.298,0.00079,-79.12,14.4,1
2022-08-04,SELL_PE,58078.895142857145,58298.8,83.09,124.63,-301.33,-0.298,0.00079,-79.12,14.4,1
2022-08-04,SELL_PE,58078.895142857145,58298.8,83.09,124.63,-301.33,-0.298,0.00079,-79.12,14.4,1
2022-08-04,SELL_CE,58518.70485714286,58298.8,90.07,135.1,-324.06,0.318,0.00081,-81.49,14.4,1
2022-08-04,SELL_CE,58518.70485714286,58298.8,90.07,135.1,-324.06,0.318,0.00081,-81.49,14.4,1
2022-08-08,SELL_PE,58380.77457142857,58853.07,151.58,227.37,-806.8,-0.277,0.00038,-39.8,14.3,4
2022-08-11,SELL_PE,59092.095714285715,59332.6,59.98,0.05,551.38,-0.257,0.00083,-65.07,12.5,1
2022-08-11,SELL_PE,59092.095714285715,59332.6,59.98,0.05,551.38,-0.257,0.00083,-65.07,12.5,1
2022-08-11,SELL_PE,59092.095714285715,59332.6,59.98,0.05,551.38,-0.257,0.00083,-65.07,12.5,1
2022-08-16,SELL_PE,59436.7985,59842.21,99.71,48.19,466.81,-0.251,0.00048,-37.76,12.2,3
2022-08-16,SELL_PE,59436.7985,59842.21,99.71,48.19,466.81,-0.251,0.00048,-37.76,12.2,3
2022-08-17,SELL_PE,59978.833928571425,60260.13,89.16,133.73,-321.09,-0.278,0.00065,-46.39,11.6,2
2022-08-17,SELL_PE,59978.833928571425,60260.13,89.16,133.73,-321.09,-0.278,0.00065,-46.39,11.6,2
2022-08-17,SELL_PE,59978.833928571425,60260.13,89.16,133.73,-321.09,-0.278,0.00065,-46.39,11.6,2
2022-08-22,SELL_CE,59212.12828571429,58773.87,204.51,306.76,-1072.03,0.337,0.0004,-45.61,15.0,4
2022-08-22,SELL_CE,59212.12828571429,58773.87,204.51,306.76,-1072.03,0.337,0.0004,-45.61,15.0,4
2022-08-22,SELL_CE,59212.12828571429,58773.87,204.51,306.76,-1072.03,0.337,0.0004,-45.61,15.0,4
2022-08-23,SELL_CE,59423.9225,59031.3,170.58,91.74,739.26,0.328,0.00045,-51.45,14.9,3
2022-08-23,SELL_CE,59423.9225,59031.3,170.58,91.74,739.26,0.328,0.00045,-51.45,14.9,3
2022-08-23,SELL_CE,59423.9225,59031.3,170.58,91.74,739.26,0.328,0.00045,-51.45,14.9,3
2022-08-25,SELL_PE,58543.981714285714,58774.72,77.82,0.05,729.65,-0.287,0.00079,-76.68,14.1,1
2022-08-25,SELL_PE,58543.981714285714,58774.72,77.82,0.05,729.65,-0.287,0.00079,-76.68,14.1,1
2022-08-25,SELL_PE,58543.981714285714,58774.72,77.82,0.05,729.65,-0.287,0.00079,-76.68,14.1,1
2022-08-25,SELL_CE,59005.45828571429,58774.72,84.62,126.94,-306.33,0.307,0.00081,-79.17,14.1,1
2022-08-29,SELL_CE,58414.35028571429,57972.62,171.26,100.95,654.02,0.319,0.00043,-40.49,13.7,4
2022-08-29,SELL_CE,58414.35028571429,57972.62,171.26,100.95,654.02,0.319,0.00043,-40.49,13.7,4
2022-08-29,SELL_CE,58414.35028571429,57972.62,171.26,100.95,654.02,0.319,0.00043,-40.49,13.7,4
2022-08-30,SELL_PE,59128.731,59537.07,180.78,271.17,-953.14,-0.31,0.00039,-56.34,16.7,3
2022-08-30,SELL_PE,59128.731,59537.07,180.78,271.17,-953.14,-0.31,0.00039,-56.34,16.7,3
2022-08-30,SELL_PE,59128.731,59537.07,180.78,271.17,-953.14,-0.31,0.00039,-56.34,16.7,3
2022-09-06,SELL_PE,58715.678499999995,59196.99,172.86,91.72,762.18,-0.29,0.00036,-56.9,17.6,3
2022-09-07,SELL_CE,59384.96607142858,59028.91,169.34,68.27,961.65,0.335,0.00047,-73.65,17.6,2
2022-09-08,SELL_PE,59404.00028571429,59688.22,105.67,158.51,-374.89,-0.297,0.00062,-100.05,17.9,1
2022-09-08,SELL_PE,59404.00028571429,59688.22,105.67,158.51,-374.89,-0.297,0.00062,-100.05,17.9,1
2022-09-08,SELL_PE,59404.00028571429,59688.22,105.67,158.51,-374.89,-0.297,0.00062,-100.05,17.9,1
