date,symbol,type,strike,entry,exit,spot_entry,pcr,vwap,gross_pnl,costs,net_pnl,version,tolerance,has_oi,position_scale
2024-10-30,SENSEX,BUY_CE,79900,399.4373610226103,649.671729663425,79903.63028148148,1.4224598930481283,79903.63028148148,4941.74,75.16,4866.58,V1,,,
2024-10-31,SENSEX,BUY_PE,79400,123.38409149063955,250.64453251495752,79827.89043771045,0.8292682926829268,79827.89043771045,2522.77,55.84,2466.93,V1,,,
2024-11-01,SENSEX,BUY_PE,79700,184.75614513002438,252.63693849255387,79910.64645558488,0.7010309278350515,79910.64645558488,1331.37,60.13,1271.24,V1,,,
2024-11-19,SENSEX,BUY_PE,77600,222.6532306152949,385.6260310448965,77919.45579304497,0.5264797507788161,77919.45579304497,3222.96,62.79,3160.17,V1,,,
2024-11-21,SENSEX,BUY_PE,77200,179.83179521753482,323.45084194923356,77604.43630695443,0.22429906542056074,77604.43630695443,2842.18,59.79,2782.4,V1,,,
2024-11-28,SENSEX,BUY_PE,79000,281.76285544801794,437.53116853468475,79532.73274652149,0.6867469879518072,79532.73274652149,3072.21,66.92,3005.29,V1,,,
2024-11-29,SENSEX,BUY_PE,79800,460.32330135648226,676.4815565068354,79911.52265103058,0.7058823529411765,79911.52265103058,4254.96,79.42,4175.53,V1,,,
2024-12-05,SENSEX,BUY_CE,81800,120.14906842174423,203.83859472944852,80511.41393713813,1.695364238410596,80511.41393713813,1654.35,55.61,1598.74,V1,,,
2024-12-09,SENSEX,BUY_CE,81500,401.50595277127286,616.52194881534,81264.12882951654,1.5125,81264.12882951654,4239.24,75.31,4163.93,V1,,,
2024-12-11,SENSEX,BUY_PE,81500,435.07112043628877,457.67712943905514,81575.43423892099,0.26785714285714285,81575.43423892099,398.56,77.65,320.9,V1,,,
2024-12-12,SENSEX,BUY_PE,81300,341.22348921563025,444.2790259524937,81547.48658070678,0.2767527675276753,81547.48658070678,2013.98,71.09,1942.89,V1,,,
2024-12-17,SENSEX,BUY_PE,80700,188.37768617549227,312.9008804380185,81449.89438497653,0.4538152610441767,81449.89438497653,2460.39,60.39,2400.0,V1,,,
2024-12-24,SENSEX,BUY_PE,78500,237.74892873880162,396.6786438982819,78900.19119891008,0.9032258064516129,78900.19119891008,3140.53,63.84,3076.69,V1,,,
2024-12-26,SENSEX,BUY_PE,78500,326.45690153892065,525.3566812836541,78659.46255319148,0.8442211055276382,78659.46255319148,3926.89,70.05,3856.83,V1,,,
2024-12-30,SENSEX,BUY_PE,78200,197.92243746587337,350.4733059770241,78577.934788975,0.8653846153846154,78577.934788975,3018.11,61.05,2957.06,V1,,,
