date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2021-05-25,BUY_PE_GAMMA,735,737.0,9.21,14.37,32258213.82,-0.461,24.7,5
2021-05-27,BUY_CE_GAMMA,765,764.9,12.08,20.46,52376231.9,0.506,28.3,5
2021-05-31,BUY_CE_GAMMA,765,766.0,19.24,22.54,20595822.71,0.52,28.3,12
2021-06-02,BUY_PE_GAMMA,760,759.4,19.63,31.01,71103818.16,-0.491,28.2,13
2021-06-03,BUY_PE_GAMMA,735,734.25,20.73,38.89,113428113.64,-0.491,32.0,12
2021-06-08,BUY_CE_GAMMA,745,746.3,15.76,24.86,56849506.42,0.523,30.6,7
2021-06-10,BUY_PE_GAMMA,740,738.5,13.0,4.4,-44922103.35,-0.511,29.6,5
2021-06-11,BUY_CE_GAMMA,750,748.25,11.75,15.78,25167830.74,0.486,30.1,5
2021-06-15,BUY_PE_GAMMA,715,716.95,12.39,22.76,64785640.68,-0.467,33.3,5
2021-06-17,BUY_PE_GAMMA,700,698.0,14.41,25.42,68777292.0,-0.514,34.2,5
2021-06-21,BUY_CE_GAMMA,700,698.65,12.66,19.08,40055131.3,0.493,34.0,5
2021-06-22,BUY_CE_GAMMA,710,710.2,14.02,22.13,50694141.04,0.512,35.0,5
2021-06-23,BUY_CE_GAMMA,720,721.2,14.99,23.47,52983555.75,0.523,35.7,5
2021-06-24,BUY_CE_GAMMA,720,718.3,13.47,15.57,13113432.04,0.491,35.5,5
2021-06-30,BUY_CE_GAMMA,720,719.4,21.61,32.03,65053886.14,0.51,33.8,13
2021-07-01,BUY_PE_GAMMA,715,714.35,20.75,30.48,60811233.53,-0.49,30.6,14
2021-07-02,BUY_CE_GAMMA,720,722.3,20.96,32.61,72733992.45,0.531,30.5,13
2021-07-05,BUY_CE_GAMMA,730,731.5,18.72,30.07,70891401.39,0.525,31.1,10
2021-07-06,BUY_PE_GAMMA,720,720.5,16.76,29.04,76725392.92,-0.483,31.5,9
2021-07-08,BUY_PE_GAMMA,720,720.6,15.39,25.37,62362727.34,-0.482,32.9,7
2021-07-09,BUY_CE_GAMMA,730,732.0,15.88,20.88,31210764.94,0.531,33.2,6
2021-07-13,BUY_PE_GAMMA,725,725.5,11.15,13.33,13597765.07,-0.485,28.1,5
2021-07-14,BUY_PE_GAMMA,720,721.8,10.43,11.54,6907462.17,-0.466,28.0,5
2021-07-15,BUY_CE_GAMMA,730,728.0,8.51,10.84,14564690.31,0.473,23.2,5
2021-07-19,BUY_PE_GAMMA,715,716.2,9.45,16.72,45400920.28,-0.474,25.1,5
2021-07-21,BUY_CE_GAMMA,725,725.35,9.66,10.94,8003064.06,0.512,23.4,5
2021-07-22,BUY_CE_GAMMA,735,736.4,10.67,17.54,42894865.81,0.529,24.2,5
2021-07-23,BUY_CE_GAMMA,760,760.5,12.11,22.37,64133511.0,0.514,27.9,5
2021-07-28,BUY_PE_GAMMA,755,755.9,19.59,32.33,79608942.6,-0.478,27.4,15
2021-08-02,BUY_PE_GAMMA,740,741.4,18.78,29.96,69855361.86,-0.474,29.2,13
2021-08-04,BUY_PE_GAMMA,730,729.9,16.98,27.06,62939835.31,-0.488,28.0,11
