date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2021-07-01,BUY_PE_GAMMA,68000,68141.0,1758.86,2589.13,746744.05,-0.473,28.7,14
2021-07-02,BUY_CE_GAMMA,69000,69159.0,1904.44,3074.45,1052459.67,0.526,29.3,13
2021-07-05,BUY_PE_GAMMA,69000,69212.0,1492.69,2170.75,609816.55,-0.467,29.2,10
2021-07-07,BUY_PE_GAMMA,69500,69375.0,1493.03,1660.79,150539.16,-0.503,29.1,8
2021-07-08,BUY_PE_GAMMA,69000,68965.0,1329.6,1467.76,123948.41,-0.494,28.7,7
2021-07-09,BUY_CE_GAMMA,69000,69235.0,1341.11,1653.74,280963.1,0.539,28.8,6
2021-07-12,BUY_CE_GAMMA,69500,69400.0,1069.69,1653.86,525430.13,0.493,28.8,5
2021-07-13,BUY_PE_GAMMA,69000,69045.0,1089.4,1709.7,557936.86,-0.485,28.8,5
2021-07-14,BUY_CE_GAMMA,69500,69423.0,1083.0,384.52,-628965.71,0.497,28.8,5
2021-07-15,BUY_CE_GAMMA,69500,69690.0,1222.62,1351.75,115847.25,0.534,28.9,5
2021-07-16,BUY_PE_GAMMA,68500,68345.0,691.24,1340.37,583982.79,-0.535,15.9,5
2021-07-20,BUY_PE_GAMMA,66500,66597.0,629.93,1040.0,368847.09,-0.472,18.2,5
2021-07-22,BUY_CE_GAMMA,67500,67409.0,651.97,979.9,294920.09,0.484,18.4,5
2021-07-23,BUY_PE_GAMMA,67000,67050.0,671.04,823.87,137318.57,-0.483,18.5,5
2021-07-27,BUY_PE_GAMMA,66000,66120.0,667.34,1198.0,477371.56,-0.468,19.6,5
2021-07-29,BUY_CE_GAMMA,68000,68112.0,1467.8,2759.17,1161798.96,0.522,22.2,14
2021-08-03,BUY_CE_GAMMA,68000,67851.0,1158.94,1311.16,136656.59,0.489,20.9,12
2021-08-04,BUY_PE_GAMMA,67500,67605.0,1119.63,1343.29,200960.39,-0.476,20.9,11
2021-08-06,BUY_PE_GAMMA,65000,64975.0,1233.36,2329.41,986079.72,-0.493,25.0,9
2021-08-12,BUY_PE_GAMMA,62000,61854.0,1066.4,1370.68,273526.46,-0.515,28.6,5
2021-08-13,BUY_CE_GAMMA,63000,63203.0,1183.05,2074.25,801723.98,0.538,30.5,5
2021-08-17,BUY_PE_GAMMA,63000,63150.0,988.83,1123.43,120838.46,-0.469,30.1,5
2021-08-18,BUY_PE_GAMMA,62500,62432.0,1077.45,1772.44,625160.03,-0.502,29.8,5
2021-08-19,BUY_PE_GAMMA,62000,62109.0,975.09,1402.0,383913.63,-0.474,29.6,5
2021-08-20,BUY_PE_GAMMA,61500,61706.0,922.1,1103.0,162524.55,-0.459,29.6,5
2021-08-23,BUY_CE_GAMMA,63000,62881.0,1050.73,1656.31,544700.05,0.491,31.5,5
