date,type,strike,spot,entry_premium,exit_premium,pnl,delta,iv,dte
2023-10-27,BUY_CE_GAMMA,61500,61255.0,427.12,620.56,19284.64,0.432,15.7,5
2023-10-31,BUY_PE_GAMMA,61000,60918.0,778.11,1156.31,37749.73,-0.511,13.9,12
2023-11-03,BUY_CE_GAMMA,61000,61025.0,706.96,212.09,-49554.92,0.51,13.1,12
2023-11-07,BUY_PE_GAMMA,60500,60375.0,642.35,780.6,13758.87,-0.529,13.5,8
2023-11-08,BUY_PE_GAMMA,60000,60000.0,550.94,879.37,32780.28,-0.495,13.9,7
2023-11-09,BUY_CE_GAMMA,60500,60327.0,433.23,666.32,23249.28,0.451,13.9,6
2023-11-13,BUY_CE_GAMMA,60000,59850.0,280.28,325.91,4507.35,0.435,10.4,5
2023-11-14,BUY_CE_GAMMA,60000,60090.0,340.11,451.79,11110.48,0.551,8.7,5
2023-11-16,BUY_CE_GAMMA,60500,60742.0,447.73,150.6,-29773.82,0.623,9.2,5
2023-11-21,BUY_CE_GAMMA,61000,61229.0,457.77,826.24,36786.33,0.611,9.7,5
2023-11-22,BUY_PE_GAMMA,61000,61018.0,323.48,365.05,4100.64,-0.488,9.7,5
2023-11-24,BUY_CE_GAMMA,61500,61370.0,275.2,402.54,12678.83,0.441,9.8,5
2023-11-28,BUY_CE_GAMMA,62500,62311.0,549.2,928.28,37845.69,0.457,10.6,15
2023-12-01,BUY_CE_GAMMA,63000,63137.0,723.55,1350.74,62650.56,0.537,11.1,14
2023-12-08,BUY_PE_GAMMA,62000,61770.0,579.43,1056.91,47683.98,-0.575,11.1,7
2023-12-14,BUY_CE_GAMMA,62500,62405.0,434.06,735.77,30110.42,0.472,13.7,5
2023-12-19,BUY_CE_GAMMA,62500,62435.0,446.23,540.09,9325.52,0.482,13.7,5
2023-12-22,BUY_CE_GAMMA,63000,62972.0,468.66,178.72,-29055.15,0.494,13.7,5
2023-12-27,BUY_CE_GAMMA,63500,63653.0,554.44,923.44,36836.69,0.554,13.3,5
2023-12-28,BUY_PE_GAMMA,63500,63420.0,858.31,1351.77,49273.47,-0.508,13.3,15
2024-01-03,BUY_PE_GAMMA,62500,62509.0,715.34,1258.74,54271.77,-0.491,13.3,12
2024-01-10,BUY_PE_GAMMA,62000,61973.0,429.99,653.2,22261.94,-0.506,12.0,5
2024-01-11,BUY_PE_GAMMA,62000,61800.0,526.05,885.13,35845.66,-0.572,12.1,5
2024-01-16,BUY_PE_GAMMA,62000,62033.0,344.43,545.23,20023.18,-0.482,10.4,5
2024-01-17,BUY_PE_GAMMA,61500,61455.0,397.1,654.0,25631.14,-0.516,10.9,5
2024-01-18,BUY_CE_GAMMA,62000,61799.0,295.26,418.79,12297.73,0.421,11.2,5
2024-01-19,BUY_CE_GAMMA,62000,61988.0,383.66,115.1,-26914.66,0.498,11.2,5
2024-01-30,BUY_CE_GAMMA,62500,62634.0,662.69,1012.1,34874.8,0.539,10.5,13
2024-02-01,BUY_CE_GAMMA,63500,63380.0,522.72,806.9,28355.23,0.471,9.8,14
2024-02-09,BUY_PE_GAMMA,62500,62303.0,494.73,556.51,6116.39,-0.576,10.2,6
2024-02-12,BUY_PE_GAMMA,62000,62078.0,291.77,328.59,3626.74,-0.459,9.5,5
2024-02-13,BUY_PE_GAMMA,61500,61504.0,344.39,572.82,22786.46,-0.495,10.1,5
2024-02-15,BUY_CE_GAMMA,61500,61627.0,370.32,430.0,5910.58,0.568,8.8,5
2024-02-16,BUY_CE_GAMMA,62000,61878.0,242.49,344.43,10139.62,0.438,8.6,5
2024-02-22,BUY_PE_GAMMA,62000,61977.0,312.38,464.61,15167.39,-0.509,8.7,5
2024-02-23,BUY_CE_GAMMA,62500,62345.0,242.81,349.26,10591.33,0.424,9.0,5
2024-02-27,BUY_CE_GAMMA,62500,62301.0,200.63,225.97,2481.29,0.394,8.3,5
2024-02-29,BUY_CE_GAMMA,62500,62540.0,487.99,659.39,17078.5,0.516,8.0,14
2024-03-07,BUY_CE_GAMMA,65500,65406.0,448.43,536.2,8716.35,0.473,10.7,8
