timestamp,strategy,commodity,type,strike,premium,spot,reason
2026-02-23T14:01:46.371049,CPR,SILVERM,BUY_CE_CPR,265000,9886.940868181378,265001.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:01:46.371049,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:01:46.371049,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:03:04.381504,CPR,GOLDM,BUY_CE_CPR,159000,5598.498572149938,158953.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:03:04.381504,CPR,SILVERM,BUY_CE_CPR,265000,9886.940868181378,265001.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:03:04.381504,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:03:04.381504,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:04:20.721956,CPR,GOLDM,BUY_CE_CPR,159100,5649.540520299953,159131.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:04:20.721956,CPR,SILVERM,BUY_CE_CPR,265000,9886.940868181378,265001.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:04:20.721956,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:04:20.721956,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:05:33.180007,CPR,GOLDM,BUY_CE_CPR,159100,5644.51103089136,159122.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:05:33.180007,CPR,SILVERM,BUY_CE_CPR,265500,9862.63702641175,265418.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:05:33.180007,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:05:33.180007,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:06:37.418129,CPR,GOLDM,BUY_CE_CPR,159100,5643.393743663332,159120.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:06:37.419130,CPR,SILVERM,BUY_CE_CPR,265500,9925.29859465361,265539.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:06:37.419130,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:06:37.419130,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:07:37.003601,CPR,GOLDM,BUY_CE_CPR,159200,5611.982605815939,159150.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:07:37.003601,CPR,SILVERM,BUY_CE_CPR,266000,9820.40801939888,265800.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:07:37.003601,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:07:37.003601,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:08:40.156363,CPR,GOLDM,BUY_CE_CPR,159200,5642.101690894257,159204.0,Narrow CPR (0.058%) bullish breakout
2026-02-23T14:08:40.156363,CPR,SILVERM,BUY_CE_CPR,266000,9923.21170619948,265999.0,Narrow CPR (0.038%) bullish breakout
2026-02-23T14:08:40.156363,CPR,CRUDEOILM,BUY_CE_CPR,5950,193.7617097421579,5963.0,Narrow CPR (0.111%) bullish breakout
2026-02-23T14:08:40.156363,Ghost Zone,CRUDEOILM,BUY_PE_GTZ,5950,180.77327993274653,5963.0,Ghost Zone: Supply retest
2026-02-23T14:09:47.955558,CPR,GOLDM,BUY_CE_CPR,159200,5614.767210255677,159155.0,Narrow CPR (0.058%) bullish breakout
